Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public org.atmosphere.cpr.AtmosphereConfig org.atmosphere.cpr.AtmosphereConfig.shutdownHook(org.atmosphere.cpr.AtmosphereConfig$ShutdownHook)",27473,4373,-23100,"-84.08%",2.225615683732988,0.3095052728430887,-1.9161104108898992,"-86.09%"
"public boolean org.atmosphere.cpr.AtmosphereConfig.useServletContextParameters",1704,4556,2852,"167.37%",0.13804277381723914,0.3224573572085781,0.18441458339133895,"133.59%"
"public boolean org.atmosphere.cpr.AtmosphereConfig.supportSession",3353,2609,-744,"-22.19%",0.2716299416720674,0.18465567272984643,-0.08697426894222096,"-32.02%"
"public boolean org.atmosphere.cpr.AtmosphereConfig.isSupportSession()",1974,3069,1095,"55.47%",0.15991574854180168,0.21721282468681435,0.05729707614501267,"35.83%"
"public void org.atmosphere.cpr.AtmosphereConfig.setstartUpHook(java.util.List)",4580,2146,-2434,"-53.14%",0.3710304601425794,0.1518861915209852,-0.2191442686215942,"-59.06%"
"public void org.atmosphere.cpr.AtmosphereConfig.setThrowExceptionOnCloned(boolean)",2103,1899,-204,"-9.7%",0.17036616979909266,0.13440441644843937,-0.0359617533506533,"-21.11%"
"public javax.servlet.ServletConfig org.atmosphere.cpr.AtmosphereConfig.getServletConfig()",391,434,43,"11.0%",0.03167530784186649,0.030716965107226272,-0.0009583427346402211,"-3.03%"
"public org.atmosphere.util.UUIDProvider org.atmosphere.cpr.AtmosphereConfig.uuidProvider()",403,464,61,"15.14%",0.032647440051847054,0.03284025762615896,0.00019281757431190844,"0.59%"
"public java.util.Map org.atmosphere.cpr.AtmosphereConfig.properties",4983,2590,-2393,"-48.02%",0.40367790019442645,0.18331092080118905,-0.2203669793932374,"-54.59%"
"public java.util.List org.atmosphere.cpr.AtmosphereConfig.atmosphereHandlerConfig",3220,3784,564,"17.52%",0.2608554763447829,0.2678179630547102,0.006962486709927274,"2.67%"
"public org.atmosphere.cpr.AtmosphereResourceFactory org.atmosphere.cpr.AtmosphereConfig.resourcesFactory()",378,417,39,"10.32%",0.030622164614387555,0.029513766013164414,-0.0011083986012231407,"-3.62%"
"public org.atmosphere.cpr.AtmosphereFramework org.atmosphere.cpr.AtmosphereConfig.framework",1547,2115,568,"36.72%",0.1253240440699935,0.14969212258475476,0.02436807851476125,"19.44%"
