Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,8149,8467,318,"3.9%",3420,3795,375,"10.96%",0.3403784303078401,0.3511820821236002,0.010803651815760096,"3.17%",0.14285117580719267,0.15740356698465366,0.014552391177460988,"10.19%"
class java.lang.Long,37325,41364,4039,"10.82%",14,17,3,"21.43%",1.5590409757320078,1.7156366652841144,0.15659568955210657,"10.04%",0.000584770895117163,0.0007051016175860639,0.00012033072246890087,"20.58%"
class java.lang.Integer,22669,17720,-4949,"-21.83%",11,12,1,"9.09%",0.9468693872436407,0.7349647449191207,-0.21190464232452,"-22.38%",0.00045946284616348525,0.0004977187888842803,3.8255942720795096e-05,"8.33%"
class com.zaxxer.hikari.HikariConfig,36643,42294,5651,"15.42%",35254,40990,5736,"16.27%",1.5305542792698719,1.7542098714226462,0.2236555921527743,"14.61%",1.4725366526043189,1.700124429697221,0.22758777709290223,"15.46%"
class java.util.Properties,11660,12592,932,"7.99%",281,155,-126,"-44.84%",0.48703061693329436,0.5222729158025715,0.035242298869277155,"7.24%",0.011737187251994486,0.006428867689755288,-0.005308319562239198,"-45.23%"
class java.lang.Boolean,25469,22822,-2647,"-10.39%",2,2,0,"0.0%",1.0638235662670732,0.9465781833264205,-0.11724538294065268,"-11.02%",8.353869930245185e-05,8.295313148071339e-05,-5.855678217384628e-07,"-0.7%"
class java.lang.Class,421,384,-37,"-8.79%",2,2,0,"0.0%",0.017584896203166115,0.01592700124429697,-0.0016578949588691438,"-9.43%",8.353869930245185e-05,8.295313148071339e-05,-5.855678217384628e-07,"-0.7%"
