Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.util.ArrayList,6272,50042,43770,"697.86%",1296,683,-613,"-47.3%",0.364969450101833,3.01657724998493,2.651607799883097,"726.53%",0.07541460576083794,0.04117186087166194,-0.034242744889176,"-45.41%"
class java.lang.Integer,11145,7506,-3639,"-32.65%",15,13,-2,"-13.33%",0.6485306953738725,0.45246850322502863,-0.1960621921488439,"-30.23%",0.0008728542333430317,0.0007836518174694074,-8.92024158736243e-05,"-10.22%"
class java.lang.Boolean,20053,34358,14305,"71.34%",2,2,0,"0.0%",1.1668897294151876,2.0711314726626076,0.9042417432474199,"77.49%",0.00011638056444573757,0.00012056181807221654,4.181253626478969e-06,"3.59%"
class java.lang.Object,2,1,-1,"-50.0%",1,1,0,"0.0%",0.00011638056444573757,6.028090903610827e-05,-5.60996554096293e-05,"-48.2%",5.819028222286878e-05,6.028090903610827e-05,2.0906268132394847e-06,"3.59%"
class org.activiti.engine.impl.pvm.runtime.StartingExecution,154,0,-154,"-INF%",1,0,-1,"-INF%",0.008961303462321792,0.0,-0.008961303462321792,"-INF%",5.819028222286878e-05,0.0,-5.819028222286878e-05,"-INF%"
class [Lorg.activiti.engine.impl.persistence.entity.ExecutionEntity;,1183,529,-654,"-55.28%",1183,529,-654,"-55.28%",0.06883910386965376,0.03188860088010127,-0.03695050298955249,"-53.68%",0.06883910386965376,0.03188860088010127,-0.03695050298955249,"-53.68%"
class [Ljava.lang.String;,11,8,-3,"-27.27%",9,6,-3,"-33.33%",0.0006400931044515566,0.00048224727228886614,-0.00015784583216269042,"-24.66%",0.000523712540005819,0.0003616854542166496,-0.00016202708578916941,"-30.94%"
class java.util.HashMap,11748,10541,-1207,"-10.27%",58,54,-4,"-6.9%",0.6836194355542624,0.6354210621496172,-0.04819837340464517,"-7.05%",0.003375036368926389,0.0032551690879498462,-0.00011986728097654288,"-3.55%"
class org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior,1360,1310,-50,"-3.68%",1360,1310,-50,"-3.68%",0.07913878382310154,0.07896799083730183,-0.0001707929857997087,"-0.22%",0.07913878382310154,0.07896799083730183,-0.0001707929857997087,"-0.22%"
class java.lang.String,7937,2834,-5103,"-64.29%",11,8,-3,"-27.27%",0.4618562700029095,0.17083609620833082,-0.2910201737945787,"-63.01%",0.0006400931044515566,0.00048224727228886614,-0.00015784583216269042,"-24.66%"
class [Lorg.activiti.engine.impl.pvm.PvmTransition;,75,165,90,"120.0%",1,1,0,"0.0%",0.0043642711667151585,0.009946349990957863,0.005582078824242704,"127.9%",5.819028222286878e-05,6.028090903610827e-05,2.0906268132394847e-06,"3.59%"
class java.util.Arrays$ArrayList,1673,1224,-449,"-26.84%",11,8,-3,"-27.27%",0.09735234215885948,0.07378383266019652,-0.02356850949866296,"-24.21%",0.0006400931044515566,0.00048224727228886614,-0.00015784583216269042,"-24.66%"
class java.lang.Class,163,196,33,"20.25%",6,5,-1,"-16.67%",0.009485016002327611,0.01181505817107722,0.002330042168749609,"24.57%",0.0003491416933372127,0.0003014045451805413,-4.77371481566714e-05,"-13.67%"
class org.activiti.engine.impl.persistence.entity.ExecutionEntity,59395,61457,2062,"3.47%",33833,28100,-5733,"-16.94%",3.4562118126272914,3.7046838266321056,0.24847201400481422,"7.19%",1.9687518184463195,1.6938935439146423,-0.2748582745316772,"-13.96%"
class [Lorg.activiti.engine.impl.persistence.entity.VariableInstanceEntity;,971,1161,190,"19.57%",1,1,0,"0.0%",0.05650276403840559,0.06998613539092169,0.0134833713525161,"23.86%",5.819028222286878e-05,6.028090903610827e-05,2.0906268132394847e-06,"3.59%"
class [Lorg.activiti.engine.impl.pvm.delegate.ActivityExecution;,0,2,2,"INF%",0,2,2,"INF%",0.0,0.00012056181807221654,0.00012056181807221654,"INF%",0.0,0.00012056181807221654,0.00012056181807221654,"INF%"
