Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static org.slf4j.Logger com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.LOGGER",1,1,0,"0.0%",4.2995958379912286e-05,0.005714285714285714,0.005671289755905802,"13190.29%"
"public com.netflix.simianarmy.janitor.JanitorResourceTracker com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.janitorResourceTracker()",8891,12,-8879,"-99.87%",0.38227706595580013,0.06857142857142857,-0.31370563738437157,"-82.06%"
"com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext(java.lang.String| com.netflix.simianarmy.janitor.JanitorRuleEngine| com.netflix.simianarmy.janitor.JanitorCrawler| com.netflix.simianarmy.janitor.JanitorResourceTracker| com.netflix.simianarmy.MonkeyCalendar| com.netflix.simianarmy.MonkeyConfiguration| com.netflix.simianarmy.MonkeyRecorder)",23002,11,-22991,"-99.95%",0.9889930346547424,0.06285714285714286,-0.9261358917975996,"-93.64%"
"com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext()",251,23,-228,"-90.84%",0.010791985553357985,0.13142857142857142,0.12063658587521343,"1117.83%"
"public com.netflix.simianarmy.MonkeyCalendar com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.calendar()",9517,4,-9513,"-99.96%",0.40919253590162524,0.022857142857142857,-0.3863353930444824,"-94.41%"
"public com.netflix.simianarmy.MonkeyRecorder com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.recorder()",15934,3,-15931,"-99.98%",0.6850976008255224,0.017142857142857144,-0.6679547436826653,"-97.5%"
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.region()",9331,2,-9329,"-99.98%",0.4011952876429616,0.011428571428571429,-0.38976671621439013,"-97.15%"
"public final native java.lang.Class java.lang.Object.getClass()",1995,2,-1993,"-99.9%",0.08577693696792502,0.011428571428571429,-0.07434836553935359,"-86.68%"
"public com.netflix.simianarmy.janitor.JanitorRuleEngine com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.ruleEngine",11106,1,-11105,"-99.99%",0.4775131137673059,0.005714285714285714,-0.47179882805302015,"-98.8%"
"public com.netflix.simianarmy.janitor.JanitorCrawler com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.janitorCrawler()",7142,0,-7142,"-INF%",0.30707713474933357,0.0,-0.30707713474933357,"-INF%"
"public com.netflix.simianarmy.MonkeyConfiguration com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.configuration()",9133,8,-9125,"-99.91%",0.39268208788373893,0.045714285714285714,-0.3469678021694532,"-88.36%"
"com.netflix.simianarmy.aws.janitor.InstanceJanitor(com.netflix.simianarmy.client.aws.AWSClient| com.netflix.simianarmy.janitor.AbstractJanitor$Context)",1863,13,-1850,"-99.3%",0.0801014704617766,0.07428571428571429,-0.005815756176062309,"-7.26%"
"public com.netflix.simianarmy.MonkeyCalendar com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.calendar",6895,3,-6892,"-99.96%",0.2964571330294952,0.017142857142857144,-0.2793142758866381,"-94.22%"
"public com.netflix.simianarmy.MonkeyRecorder com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.recorder",6199,3,-6196,"-99.95%",0.26653194599707625,0.017142857142857144,-0.2493890888542191,"-93.57%"
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.region",16276,1,-16275,"-99.99%",0.6998022185914524,0.005714285714285714,-0.6940879328771667,"-99.18%"
"public com.netflix.simianarmy.MonkeyConfiguration com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.config",14777,1,-14776,"-99.99%",0.6353512769799639,0.005714285714285714,-0.6296369912656782,"-99.1%"
"public com.netflix.simianarmy.janitor.JanitorCrawler com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.crawler",13076,1,-13075,"-99.99%",0.5622151517757331,0.005714285714285714,-0.5565008660614474,"-98.98%"
"com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext()",1,127,126,"12600.0%",4.2995958379912286e-05,0.7257142857142858,0.7256712897559059,"1687766.29%"
"java.lang.Object()",1,0,-1,"-INF%",4.2995958379912286e-05,0.0,-4.2995958379912286e-05,"-INF%"
"public com.netflix.simianarmy.janitor.JanitorRuleEngine com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.janitorRuleEngine()",8148,6,-8142,"-99.93%",0.3503310688795253,0.03428571428571429,-0.316045354593811,"-90.21%"
