Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public void org.jboss.netty.buffer.DynamicChannelBuffer.writeByte(int)",9,53,44,"488.89%",0.020642201834862386,0.022923875432525952,0.002281673597663566,"11.05%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writeChar(int)",24,68,44,"183.33%",0.05504587155963303,0.029411764705882353,-0.025634106853750678,"-46.57%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.resetReaderIndex()",47,64,17,"36.17%",0.10779816513761468,0.02768166089965398,-0.08011650423796071,"-74.32%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writeFloat(float)",19,167,148,"778.95%",0.04357798165137615,0.0722318339100346,0.02865385225865845,"65.75%"
"public double org.jboss.netty.buffer.AbstractChannelBuffer.getDouble(int)",8,36,28,"350.0%",0.01834862385321101,0.015570934256055362,-0.0027776895971556477,"-15.14%"
"public char org.jboss.netty.buffer.AbstractChannelBuffer.readChar()",7,15,8,"114.29%",0.016055045871559634,0.006487889273356401,-0.009567156598203234,"-59.59%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.writeLong(long)",8,76,68,"850.0%",0.01834862385321101,0.0328719723183391,0.014523348465128087,"79.15%"
"public static final int org.jboss.netty.channel.Channel.OP_READ",1,1,0,"0.0%",0.0022935779816513763,0.00043252595155709344,-0.0018610520300942827,"-81.14%"
"public static final int org.jboss.netty.channel.Channel.OP_READ_WRITE",1,1,0,"0.0%",0.0022935779816513763,0.00043252595155709344,-0.0018610520300942827,"-81.14%"
"public short org.jboss.netty.buffer.AbstractChannelBuffer.readUnsignedByte()",3,71,68,"2266.67%",0.006880733944954129,0.030709342560553632,0.023828608615599503,"346.31%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readInt()",2,13,11,"550.0%",0.0045871559633027525,0.005622837370242215,0.0010356814069394623,"22.58%"
"public double org.jboss.netty.buffer.AbstractChannelBuffer.readDouble()",7,15,8,"114.29%",0.016055045871559634,0.006487889273356401,-0.009567156598203234,"-59.59%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.skipBytes(int)",5,25,20,"400.0%",0.011467889908256881,0.010813148788927335,-0.0006547411193295466,"-5.71%"
"public long org.jboss.netty.buffer.AbstractChannelBuffer.readUnsignedInt()",3,29,26,"866.67%",0.006880733944954129,0.012543252595155709,0.00566251865020158,"82.3%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setLong(int|long)",1,47,46,"4600.0%",0.0022935779816513763,0.02032871972318339,0.018035141741532014,"786.33%"
"public int org.jboss.netty.buffer.DynamicChannelBuffer.getInt(int)",3,16,13,"433.33%",0.006880733944954129,0.006920415224913495,3.96812799593662e-05,"0.58%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readUnsignedMedium()",7,38,31,"442.86%",0.016055045871559634,0.01643598615916955,0.0003809402876099148,"2.37%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setBoolean(int|boolean)",4,40,36,"900.0%",0.009174311926605505,0.01730103806228374,0.008126726135678233,"88.58%"
"public java.lang.String org.jboss.netty.buffer.AbstractChannelBuffer.toString()",42,153,111,"264.29%",0.0963302752293578,0.0661764705882353,-0.03015380464112251,"-31.3%"
"public java.lang.String org.jboss.netty.buffer.AbstractChannelBuffer.toString(int|int|java.nio.charset.Charset)",7,17,10,"142.86%",0.016055045871559634,0.007352941176470588,-0.008702104695089046,"-54.2%"
"public java.lang.String org.jboss.netty.buffer.AbstractChannelBuffer.toString(java.nio.charset.Charset)",29,117,88,"303.45%",0.06651376146788991,0.05060553633217993,-0.015908225135709983,"-23.92%"
"public org.jboss.netty.buffer.ChannelBuffer org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(int)",8,37,29,"362.5%",0.01834862385321101,0.016003460207612456,-0.0023451636455985546,"-12.78%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(java.io.OutputStream|int) throws java.io.IOException",2,19,17,"850.0%",0.0045871559633027525,0.008217993079584774,0.003630837116282022,"79.15%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(org.jboss.netty.buffer.ChannelBuffer|int)",6,80,74,"1233.33%",0.013761467889908258,0.03460207612456748,0.02084060823465922,"151.44%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(org.jboss.netty.buffer.ChannelBuffer)",24,17,-7,"-29.17%",0.05504587155963303,0.007352941176470588,-0.04769293038316244,"-86.64%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(org.jboss.netty.buffer.ChannelBuffer|int|int)",6,40,34,"566.67%",0.013761467889908258,0.01730103806228374,0.0035395701723754808,"25.72%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(byte[])",34,20,-14,"-41.18%",0.0779816513761468,0.00865051903114187,-0.06933113234500493,"-88.91%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(java.nio.ByteBuffer)",15,65,50,"333.33%",0.034403669724770644,0.028114186851211073,-0.006289482873559571,"-18.28%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(byte[]|int|int)",3,11,8,"266.67%",0.006880733944954129,0.004757785467128028,-0.002122948477826101,"-30.85%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readBytes(java.nio.channels.GatheringByteChannel|int) throws java.io.IOException",3,18,15,"500.0%",0.006880733944954129,0.007785467128027681,0.0009047331830735524,"13.15%"
"public boolean org.jboss.netty.buffer.AbstractChannelBuffer.readBoolean()",3,23,20,"666.67%",0.006880733944954129,0.009948096885813149,0.0030673629408590197,"44.58%"
