Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class com.squareup.okhttp.OkHttpClient,200595,193138,-7457,"-3.72%",2,2,0,"0.0%",7.978164896790359,7.917438714437977,-0.06072618235238192,"-0.76%",7.954500258521259e-05,8.198737394441256e-05,2.4423713591999706e-06,"3.07%"
class java.util.ArrayList,2074,2004,-70,"-3.38%",6,6,0,"0.0%",0.08248816768086545,0.08215134869230138,-0.00033681898856406656,"-0.41%",0.00023863500775563775,0.0002459621218332377,7.327114077599939e-06,"3.07%"
class java.lang.Class,1760,1695,-65,"-3.69%",2,1,-1,"-50.0%",0.06999960227498707,0.06948429941788964,-0.00051530285709743,"-0.74%",7.954500258521259e-05,4.099368697220628e-05,-3.855131561300631e-05,"-48.46%"
class [Ljava.lang.String;,2074,2004,-70,"-3.38%",6,6,0,"0.0%",0.08248816768086545,0.08215134869230138,-0.00033681898856406656,"-0.41%",0.00023863500775563775,0.0002459621218332377,7.327114077599939e-06,"3.07%"
class java.lang.Object,1,0,-1,"-INF%",1,0,-1,"-INF%",3.9772501292606293e-05,0.0,-3.9772501292606293e-05,"-INF%",3.9772501292606293e-05,0.0,-3.9772501292606293e-05,"-INF%"
class java.lang.Boolean,8530,14750,6220,"72.92%",2,2,0,"0.0%",0.33925943602593167,0.6046568828400426,0.2653974468141109,"78.23%",7.954500258521259e-05,8.198737394441256e-05,2.4423713591999706e-06,"3.07%"
