Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public java.util.List com.squareup.okhttp.OkHttpClient.getTransports()",3250,2862,-388,"-11.94%",0.2531941414770957,0.18113924050632912,-0.07205490097076656,"-28.46%"
"public javax.net.ssl.HostnameVerifier com.squareup.okhttp.OkHttpClient.getHostnameVerifier()",3909,4189,280,"7.16%",0.30453412277968217,0.265126582278481,-0.039407540501201155,"-12.94%"
"java.util.LinkedHashSet()",8560,291,-8269,"-96.6%",0.6668744157058274,0.01841772151898734,-0.64845669418684,"-97.24%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setConnectionPool(com.squareup.okhttp.ConnectionPool)",13174,9740,-3434,"-26.07%",1.026332190713618,0.6164556962025316,-0.40987649451108643,"-39.94%"
"java.lang.String[2]",575,34,-541,"-94.09%",0.04479588656902462,0.0021518987341772153,-0.0426439878348474,"-95.2%"
"java.lang.String[1]",253,2948,2695,"1065.22%",0.01971019009037083,0.18658227848101266,0.16687208839064183,"846.63%"
"public java.net.CookieHandler com.squareup.okhttp.OkHttpClient.cookieHandler",2009,6348,4339,"215.98%",0.15651293237768776,0.40177215189873416,0.2452592195210464,"156.7%"
"public java.net.Proxy com.squareup.okhttp.OkHttpClient.proxy",7403,3307,-4096,"-55.33%",0.5767373013399814,0.20930379746835442,-0.36743350387162693,"-63.71%"
"public boolean com.squareup.okhttp.OkHttpClient.getFollowProtocolRedirects()",29552,3158,-26394,"-89.31%",2.3022748519788094,0.19987341772151898,-2.1024014342572905,"-91.32%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.copyWithDefaults()",35844,17960,-17884,"-49.89%",2.792458709878467,1.1367088607594937,-1.6557498491189733,"-59.29%"
"public com.squareup.okhttp.ConnectionPool com.squareup.okhttp.OkHttpClient.connectionPool",4520,2946,-1574,"-34.82%",0.3521346213773761,0.18645569620253163,-0.16567892517484448,"-47.05%"
"public static synchronized void java.net.ResponseCache.setDefault(java.net.ResponseCache)",0,1,1,"INF%",0.0,6.329113924050633e-05,6.329113924050633e-05,"INF%"
"public abstract java.lang.String[] javax.net.ssl.SSLSocketFactory.getDefaultCipherSuites()",0,2385,2385,"INF%",0.0,0.1509493670886076,0.1509493670886076,"INF%"
"public static synchronized java.net.ResponseCache java.net.ResponseCache.getDefault()",0,1,1,"INF%",0.0,6.329113924050633e-05,6.329113924050633e-05,"INF%"
"com.squareup.okhttp.ConnectionPool(int| long)",0,13994,13994,"INF%",0.0,0.8856962025316456,0.8856962025316456,"INF%"
"java.net.Proxy(java.net.Proxy$Type| java.net.SocketAddress)",0,341,341,"INF%",0.0,0.021582278481012657,0.021582278481012657,"INF%"
"public static final java.net.Proxy java.net.Proxy.NO_PROXY",0,7898,7898,"INF%",0.0,0.499873417721519,0.499873417721519,"INF%"
"public static java.net.ProxySelector java.net.ProxySelector.getDefault()",0,1,1,"INF%",0.0,6.329113924050633e-05,6.329113924050633e-05,"INF%"
"public static synchronized void java.net.CookieHandler.setDefault(java.net.CookieHandler)",0,1,1,"INF%",0.0,6.329113924050633e-05,6.329113924050633e-05,"INF%"
"public static void java.net.ProxySelector.setDefault(java.net.ProxySelector)",0,1,1,"INF%",0.0,6.329113924050633e-05,6.329113924050633e-05,"INF%"
"public static synchronized java.net.CookieHandler java.net.CookieHandler.getDefault()",0,1,1,"INF%",0.0,6.329113924050633e-05,6.329113924050633e-05,"INF%"
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.net.InetAddress|int|java.net.InetAddress|int) throws java.io.IOException",0,427,427,"INF%",0.0,0.027025316455696204,0.027025316455696204,"INF%"
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.lang.String|int|java.net.InetAddress|int) throws java.io.IOException|java.net.UnknownHostException",0,445,445,"INF%",0.0,0.028164556962025317,0.028164556962025317,"INF%"
"public java.net.Socket javax.net.SocketFactory.createSocket() throws java.io.IOException",0,3508,3508,"INF%",0.0,0.2220253164556962,0.2220253164556962,"INF%"
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.lang.String|int) throws java.io.IOException|java.net.UnknownHostException",0,462,462,"INF%",0.0,0.029240506329113923,0.029240506329113923,"INF%"
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.net.InetAddress|int) throws java.io.IOException",0,457,457,"INF%",0.0,0.028924050632911393,0.028924050632911393,"INF%"
"public static synchronized javax.net.SocketFactory javax.net.ssl.SSLSocketFactory.getDefault()",0,122,122,"INF%",0.0,0.007721518987341772,0.007721518987341772,"INF%"
"public void com.squareup.okhttp.ConnectionPool.recycle(com.squareup.okhttp.Connection)",0,393,393,"INF%",0.0,0.02487341772151899,0.02487341772151899,"INF%"
"public abstract java.lang.String[] javax.net.ssl.SSLSocketFactory.getSupportedCipherSuites()",0,3059,3059,"INF%",0.0,0.19360759493670887,0.19360759493670887,"INF%"
"public java.net.Proxy$Type java.net.Proxy.type()",0,6501,6501,"INF%",0.0,0.41145569620253164,0.41145569620253164,"INF%"
"public void com.squareup.okhttp.ConnectionPool.maybeShare(com.squareup.okhttp.Connection)",0,402,402,"INF%",0.0,0.025443037974683544,0.025443037974683544,"INF%"
"public final boolean java.net.Proxy.equals(java.lang.Object)",0,8761,8761,"INF%",0.0,0.5544936708860759,0.5544936708860759,"INF%"
"public static com.squareup.okhttp.ConnectionPool com.squareup.okhttp.ConnectionPool.getDefault()",0,29882,29882,"INF%",0.0,1.89126582278481,1.89126582278481,"INF%"
"public synchronized int com.squareup.okhttp.ConnectionPool.getSpdyConnectionCount()",0,2376,2376,"INF%",0.0,0.15037974683544303,0.15037974683544303,"INF%"
"public java.lang.String java.net.Proxy.toString()",0,1816,1816,"INF%",0.0,0.11493670886075949,0.11493670886075949,"INF%"
"public java.net.SocketAddress java.net.Proxy.address()",0,8462,8462,"INF%",0.0,0.5355696202531646,0.5355696202531646,"INF%"
"public void com.squareup.okhttp.ConnectionPool.evictAll()",0,1480,1480,"INF%",0.0,0.09367088607594937,0.09367088607594937,"INF%"
"java.lang.String[3]",0,6,6,"INF%",0.0,0.00037974683544303797,0.00037974683544303797,"INF%"
"public synchronized int com.squareup.okhttp.ConnectionPool.getConnectionCount()",0,808,808,"INF%",0.0,0.05113924050632911,0.05113924050632911,"INF%"
"public synchronized com.squareup.okhttp.Connection com.squareup.okhttp.ConnectionPool.get(com.squareup.okhttp.Address)",0,1862,1862,"INF%",0.0,0.11784810126582279,0.11784810126582279,"INF%"
"java.lang.Object()",0,1,1,"INF%",0.0,6.329113924050633e-05,6.329113924050633e-05,"INF%"
"public abstract java.net.Socket javax.net.ssl.SSLSocketFactory.createSocket(java.net.Socket|java.lang.String|int|boolean) throws java.io.IOException",0,228,228,"INF%",0.0,0.014430379746835443,0.014430379746835443,"INF%"
"public java.net.Socket javax.net.ssl.SSLSocketFactory.createSocket(java.net.Socket|java.io.InputStream|boolean) throws java.io.IOException",0,240,240,"INF%",0.0,0.015189873417721518,0.015189873417721518,"INF%"
"public synchronized int com.squareup.okhttp.ConnectionPool.getHttpConnectionCount()",0,1260,1260,"INF%",0.0,0.07974683544303797,0.07974683544303797,"INF%"
