Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient189() throws java.io.IOException",47,96,49,"104.26%",0.02665910380034033,0.04467194043741275,0.018012836637072423,"67.57%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient61() throws java.io.IOException",27,10,-17,"-62.96%",0.015314804310833806,0.004653327128897162,-0.010661477181936645,"-69.62%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient185() throws java.io.IOException",53,30,-23,"-43.4%",0.030062393647192286,0.013959981386691484,-0.0161024122605008,"-53.56%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient186() throws java.io.IOException",16,17,1,"6.25%",0.009075439591605219,0.007910656119125175,-0.0011647834724800438,"-12.83%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient187() throws java.io.IOException",14,240,226,"1614.29%",0.007941009642654566,0.11167985109353187,0.1037388414508773,"1306.37%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient188() throws java.io.IOException",4,13,9,"225.0%",0.0022688598979013048,0.00604932526756631,0.003780465369665005,"166.62%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient184() throws java.io.IOException",24,231,207,"862.5%",0.013613159387407828,0.10749185667752444,0.09387869729011661,"689.62%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient69() throws java.io.IOException",18,42,24,"133.33%",0.01020986954055587,0.019543973941368076,0.009334104400812206,"91.42%"
"public java.net.CookieHandler com.squareup.okhttp.OkHttpClient.getCookieHandler()",10,8,-2,"-20.0%",0.005672149744753261,0.0037226617031177293,-0.001949488041635532,"-34.37%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setResponseCache(java.net.ResponseCache)",17,19,2,"11.76%",0.009642654566080544,0.008841321544904607,-0.0008013330211759373,"-8.31%"
"public com.squareup.okhttp.SerializedObjectSupporter com.squareup.okhttp.OkHttpClient.serializedObjectSupporter",8,40,32,"400.0%",0.0045377197958026095,0.018613308515588647,0.014075588719786036,"310.19%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient60() throws java.io.IOException",10,76,66,"660.0%",0.005672149744753261,0.03536528617961843,0.029693136434865167,"523.49%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient192() throws java.io.IOException",11,11,0,"0.0%",0.006239364719228588,0.005118659841786877,-0.0011207048774417106,"-17.96%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient193() throws java.io.IOException",680,39,-641,"-94.26%",0.38570618264322176,0.01814797580269893,-0.3675582068405228,"-95.29%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient194() throws java.io.IOException",35,18,-17,"-48.57%",0.019852524106636415,0.00837598883201489,-0.011476535274621525,"-57.81%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient62() throws java.io.IOException",31,33,2,"6.45%",0.01758366420873511,0.015355979525360632,-0.002227684683374479,"-12.67%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient68() throws java.io.IOException",31,20,-11,"-35.48%",0.01758366420873511,0.009306654257794323,-0.008277009950940788,"-47.07%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient190() throws java.io.IOException",155,31,-124,"-80.0%",0.08791832104367556,0.0144253140995812,-0.07349300694409436,"-83.59%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient67() throws java.io.IOException",18,56,38,"211.11%",0.01020986954055587,0.026058631921824105,0.015848762381268235,"155.23%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient191() throws java.io.IOException",16,44,28,"175.0%",0.009075439591605219,0.02047463936714751,0.01139919977554229,"125.6%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient72() throws java.io.IOException",70,57,-13,"-18.57%",0.03970504821327283,0.02652396463471382,-0.01318108357855901,"-33.2%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient196() throws java.io.IOException",21,65,44,"209.52%",0.01191151446398185,0.03024662633783155,0.018335111873849702,"153.93%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient197() throws java.io.IOException",173,62,-111,"-64.16%",0.09812819058423142,0.0288506281991624,-0.06927756238506902,"-70.6%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient198() throws java.io.IOException",19,476,457,"2405.26%",0.010777084515031198,0.22149837133550487,0.21072128682047367,"1955.27%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient199() throws java.io.IOException",557,12,-545,"-97.85%",0.3159387407827567,0.005583992554676594,-0.31035474822808007,"-98.23%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient195() throws java.io.IOException",208,230,22,"10.58%",0.11798071469086784,0.10702652396463472,-0.010954190726233118,"-9.28%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient71() throws java.io.IOException",29,32,3,"10.34%",0.016449234259784458,0.014890646812470917,-0.0015585874473135405,"-9.48%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.SerializedObjectSupporter.deserializeObjectOkHttpClient70() throws java.io.IOException",68,30,-38,"-55.88%",0.038570618264322176,0.013959981386691484,-0.024610636877630692,"-63.81%"
