Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.net.Proxy,759,1467,708,"93.28%",9,10,1,"11.11%",0.36970287384315637,0.7124817872753764,0.34277891343222,"92.72%",0.00438382854359474,0.0048567265662943174,0.0004728980226995777,"10.79%"
class com.squareup.okhttp.SerializedObjectSupporter,2120,2114,-6,"-0.28%",1,1,0,"0.0%",1.032635168046761,1.0267119961146187,-0.005923171932142202,"-0.57%",0.0004870920603994155,0.00048567265662943174,-1.4194037699837643e-06,"-0.29%"
class java.util.ArrayList,1,3,2,"200.0%",1,3,2,"200.0%",0.0004870920603994155,0.0014570179698882952,0.0009699259094888798,"199.13%",0.0004870920603994155,0.0014570179698882952,0.0009699259094888798,"199.13%"
class java.util.Collections$SynchronizedSet,28,20,-8,"-28.57%",1,1,0,"0.0%",0.013638577691183634,0.009713453132588635,-0.003925124558594999,"-28.78%",0.0004870920603994155,0.00048567265662943174,-1.4194037699837643e-06,"-0.29%"
class java.lang.Boolean,28,54,26,"92.86%",1,2,1,"100.0%",0.013638577691183634,0.026226323457989316,0.012587745766805682,"92.3%",0.0004870920603994155,0.0009713453132588635,0.000484253252859448,"99.42%"
class java.util.Collections$UnmodifiableRandomAccessList,26,24,-2,"-7.69%",1,1,0,"0.0%",0.012664393570384803,0.011656143759106362,-0.0010082498112784413,"-7.96%",0.0004870920603994155,0.00048567265662943174,-1.4194037699837643e-06,"-0.29%"
class java.lang.Class,20,9,-11,"-55.0%",4,3,-1,"-25.0%",0.00974184120798831,0.004371053909664886,-0.005370787298323424,"-55.13%",0.001948368241597662,0.0014570179698882952,-0.0004913502717093668,"-25.22%"
class [Ljava.lang.String;,1,3,2,"200.0%",1,3,2,"200.0%",0.0004870920603994155,0.0014570179698882952,0.0009699259094888798,"199.13%",0.0004870920603994155,0.0014570179698882952,0.0009699259094888798,"199.13%"
class com.squareup.okhttp.OkHttpClient,15727,15547,-180,"-1.14%",31,138,107,"345.16%",7.6604968339016075,7.550752792617776,-0.10974404128383153,"-1.43%",0.01509985387238188,0.06702282661486159,0.05192297274247971,"343.86%"
class java.net.Proxy$Type,0,45,45,"INF%",0,2,2,"INF%",0.0,0.021855269548324428,0.021855269548324428,"INF%",0.0,0.0009713453132588635,0.0009713453132588635,"INF%"
class java.lang.String,0,12,12,"INF%",0,7,7,"INF%",0.0,0.005828071879553181,0.005828071879553181,"INF%",0.0,0.003399708596406022,0.003399708596406022,"INF%"
class sun.net.spi.DefaultProxySelector,0,30,30,"INF%",0,1,1,"INF%",0.0,0.014570179698882952,0.014570179698882952,"INF%",0.0,0.00048567265662943174,0.00048567265662943174,"INF%"
class sun.security.ssl.SSLSocketImpl,0,31,31,"INF%",0,31,31,"INF%",0.0,0.015055852355512385,0.015055852355512385,"INF%",0.0,0.015055852355512385,0.015055852355512385,"INF%"
class java.net.InetSocketAddress,0,49,49,"INF%",0,4,4,"INF%",0.0,0.023797960174842158,0.023797960174842158,"INF%",0.0,0.001942690626517727,0.001942690626517727,"INF%"
class java.lang.Integer,0,38,38,"INF%",0,1,1,"INF%",0.0,0.018455560951918408,0.018455560951918408,"INF%",0.0,0.00048567265662943174,0.00048567265662943174,"INF%"
class com.squareup.okhttp.ConnectionPool,0,175,175,"INF%",0,174,174,"INF%",0.0,0.08499271491015056,0.08499271491015056,"INF%",0.0,0.08450704225352113,0.08450704225352113,"INF%"
class sun.security.ssl.SSLSocketFactoryImpl,0,44,44,"INF%",0,1,1,"INF%",0.0,0.021369596891694997,0.021369596891694997,"INF%",0.0,0.00048567265662943174,0.00048567265662943174,"INF%"
class com.squareup.okhttp.internal.http.HttpAuthenticator$1,0,6,6,"INF%",0,1,1,"INF%",0.0,0.0029140359397765905,0.0029140359397765905,"INF%",0.0,0.00048567265662943174,0.00048567265662943174,"INF%"
