Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,9139,7413,-1726,"-18.89%",2,2,0,"0.0%",4.718120805369128,4.287449392712551,-0.4306714126565767,"-9.13%",0.0010325245224574084,0.001156737998843262,0.00012421347638585348,"12.03%"
class java.lang.Object,1,1,0,"0.0%",1,1,0,"0.0%",0.0005162622612287042,0.000578368999421631,6.210673819292674e-05,"12.03%",0.0005162622612287042,0.000578368999421631,6.210673819292674e-05,"12.03%"
class cuke4duke.internal.java.SerializedObjectSupporter,1935,1727,-208,"-10.75%",1,1,0,"0.0%",0.9989674754775426,0.9988432620011567,-0.00012421347638591484,"-0.01%",0.0005162622612287042,0.000578368999421631,6.210673819292674e-05,"12.03%"
class java.lang.Class,434,342,-92,"-21.2%",2,2,0,"0.0%",0.2240578213732576,0.1978021978021978,-0.026255623571059816,"-11.72%",0.0010325245224574084,0.001156737998843262,0.00012421347638585348,"12.03%"
