Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"org.apache.storm.kafka.spout.KafkaSpout$Timer(org.apache.storm.kafka.spout.KafkaSpout| long| long| java.util.concurrent.TimeUnit)",20,51,31,"155.0%",0.0024807740014884646,0.014571428571428572,0.012090654569940108,"487.37%"
"org.apache.storm.kafka.spout.KafkaSpout$Timer(org.apache.storm.kafka.spout.KafkaSpout)",22,36,14,"63.64%",0.0027288514016373107,0.010285714285714285,0.007556862884076974,"276.92%"
"public java.lang.String org.apache.storm.kafka.spout.KafkaSpout.getNamedTopics()",137,17,-120,"-87.59%",0.01699330191019598,0.004857142857142857,-0.012136159053053123,"-71.42%"
"public void org.apache.storm.kafka.spout.KafkaSpout.open(java.util.Map|org.apache.storm.task.TopologyContext|org.apache.storm.spout.SpoutOutputCollector)",137,20,-117,"-85.4%",0.01699330191019598,0.005714285714285714,-0.011279016195910267,"-66.37%"
"public long org.apache.kafka.clients.consumer.ConsumerRecord.checksum()",2595,810,-1785,"-68.79%",0.3218804266931283,0.23142857142857143,-0.09045185526455685,"-28.1%"
"public transient org.apache.storm.kafka.spout.KafkaSpoutConfig$FirstPollOffsetStrategy org.apache.storm.kafka.spout.KafkaSpout.firstPollOffsetStrategy",708,140,-568,"-80.23%",0.08781939965269164,0.04,-0.04781939965269164,"-54.45%"
"public static final int org.apache.kafka.clients.consumer.ConsumerRecord.NULL_SIZE",1,1,0,"0.0%",0.00012403870007442322,0.00028571428571428574,0.00016167558563986252,"130.34%"
"public long org.apache.kafka.clients.consumer.ConsumerRecord.timestamp()",2234,1027,-1207,"-54.03%",0.2771024559662615,0.2934285714285714,0.016326115462309942,"5.89%"
"public int org.apache.storm.kafka.spout.KafkaSpout$OffsetComparator.compare(org.apache.storm.kafka.spout.KafkaSpoutMessageId|org.apache.storm.kafka.spout.KafkaSpoutMessageId)",153,111,-42,"-27.45%",0.018977921111386752,0.031714285714285716,0.012736364602898963,"67.11%"
"public default java.util.Comparator java.util.Comparator.thenComparing(java.util.Comparator)",3985,591,-3394,"-85.17%",0.4942942197965765,0.16885714285714284,-0.3254370769394337,"-65.84%"
