Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,21074,14445,-6629,"-31.46%",1,1,0,"0.0%",0.9223564425770309,0.6412874583795782,-0.28106898419745263,"-30.47%",4.376750700280112e-05,4.439511653718091e-05,6.276095343797899e-07,"1.43%"
class java.util.IdentityHashMap$KeySet,21283,18079,-3204,"-15.05%",1,1,0,"0.0%",0.9315038515406162,0.8026193118756937,-0.12888453966492253,"-13.84%",4.376750700280112e-05,4.439511653718091e-05,6.276095343797899e-07,"1.43%"
class java.lang.Object,1,1,0,"0.0%",1,1,0,"0.0%",4.376750700280112e-05,4.439511653718091e-05,6.276095343797899e-07,"1.43%",4.376750700280112e-05,4.439511653718091e-05,6.276095343797899e-07,"1.43%"
class java.lang.Integer,15643,13775,-1868,"-11.94%",1,1,0,"0.0%",0.6846551120448179,0.611542730299667,-0.07311238174515089,"-10.68%",4.376750700280112e-05,4.439511653718091e-05,6.276095343797899e-07,"1.43%"
class java.util.ArrayList,13500,15889,2389,"17.7%",1,1,0,"0.0%",0.5908613445378151,0.7053940066592674,0.1145326621214523,"19.38%",4.376750700280112e-05,4.439511653718091e-05,6.276095343797899e-07,"1.43%"
class java.util.Collections$EmptyList,25745,27042,1297,"5.04%",1,1,0,"0.0%",1.126794467787115,1.2005327413984461,0.07373827361133123,"6.54%",4.376750700280112e-05,4.439511653718091e-05,6.276095343797899e-07,"1.43%"
class java.lang.Class,2105,2162,57,"2.71%",5,5,0,"0.0%",0.09213060224089636,0.09598224195338513,0.0038516397124887664,"4.18%",0.0002188375350140056,0.00022197558268590456,3.1380476718989494e-06,"1.43%"
class org.opentripplanner.routing.spt.MultiShortestPathTree,22796,22472,-324,"-1.42%",1,1,0,"0.0%",0.9977240896358543,0.9976470588235294,-7.70308123249075e-05,"-0.01%",4.376750700280112e-05,4.439511653718091e-05,6.276095343797899e-07,"1.43%"
