Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [Lio.swagger.oas.annotations.responses.ApiResponse;,14,17,3,"21.43%",2,2,0,"0.0%",0.0010728791478274197,0.0013326017088657208,0.0002597225610383011,"24.21%",0.0001532684496896314,0.00015677667163126126,3.5082219416298634e-06,"2.29%"
class java.util.ArrayList,2057,6644,4587,"222.99%",30,60,30,"100.0%",0.15763660050578587,0.5208121031590499,0.36317550265326404,"230.39%",0.0022990267453444706,0.004703300148937838,0.0024042734035933677,"104.58%"
class java.lang.String,1185,1882,697,"58.82%",74,97,23,"31.08%",0.0908115564411066,0.14752684800501686,0.05671529156391027,"62.45%",0.005670932638516361,0.007603668574116171,0.00193273593559981,"34.08%"
class [Ljava.lang.String;,839,2181,1342,"159.95%",17,18,1,"5.88%",0.06429611464480037,0.17096496041389042,0.10666884576909005,"165.9%",0.0013027818223618668,0.0014109900446813515,0.0001082082223194847,"8.31%"
class io.swagger.jaxrs2.OperationParser,1,20,19,"1900.0%",1,1,0,"0.0%",7.66342248448157e-05,0.0015677667163126127,0.001491132491467797,"1945.78%",7.66342248448157e-05,7.838833581563063e-05,1.7541109708149317e-06,"2.29%"
class io.swagger.oas.models.media.Schema,238390,201845,-36545,"-15.33%",15562,15042,-520,"-3.34%",18.268832860755612,15.822293642705965,-2.4465392180496472,"-13.39%",1.1925818070350218,1.179117347338716,-0.01346445969630583,"-1.13%"
class java.lang.Boolean,7292,9276,1984,"27.21%",2,2,0,"0.0%",0.558816767568396,0.7271302030257898,0.16831343545739375,"30.12%",0.0001532684496896314,0.00015677667163126126,3.5082219416298634e-06,"2.29%"
class [Lio.swagger.oas.annotations.links.Link;,2712,30,-2682,"-98.89%",2,2,0,"0.0%",0.20783201777914018,0.002351650074468919,-0.20548036770467126,"-98.87%",0.0001532684496896314,0.00015677667163126126,3.5082219416298634e-06,"2.29%"
class java.util.Optional,332,6058,5726,"1724.7%",18,671,653,"3627.78%",0.02544256264847881,0.4748765383710904,0.44943397572261157,"1766.47%",0.0013794160472066824,0.05259857333228816,0.051219157285081474,"3713.1%"
class java.util.LinkedHashMap,266,112,-154,"-57.89%",23,10,-13,"-56.52%",0.020384703808720976,0.008779493611350631,-0.011605210197370345,"-56.93%",0.001762587171430761,0.0007838833581563063,-0.0009787038132744548,"-55.53%"
class [Lio.swagger.oas.annotations.servers.Server;,8,1788,1780,"22250.0%",2,2,0,"0.0%",0.0006130737987585256,0.14015834443834757,0.13954527063958905,"22761.58%",0.0001532684496896314,0.00015677667163126126,3.5082219416298634e-06,"2.29%"
class java.lang.Class,252,266,14,"5.56%",7,6,-1,"-14.29%",0.019311824660893553,0.02085129732695775,0.001539472666064197,"7.97%",0.0005364395739137098,0.00047033001489378383,-6.610955901992601e-05,"-12.32%"
class java.util.HashMap,4620,325,-4295,"-92.97%",12,5,-7,"-58.33%",0.3540501187830485,0.025476209140079958,-0.3285739096429685,"-92.8%",0.0009196106981377883,0.0003919416790781532,-0.0005276690190596351,"-57.38%"
class [Lio.swagger.oas.annotations.Parameter;,10,38,28,"280.0%",2,2,0,"0.0%",0.000766342248448157,0.002978756760993964,0.0022124145125458072,"288.7%",0.0001532684496896314,0.00015677667163126126,3.5082219416298634e-06,"2.29%"
class [Lio.swagger.oas.annotations.media.Content;,4,31,27,"675.0%",2,2,0,"0.0%",0.0003065368993792628,0.0024300384102845496,0.0021235015109052867,"692.74%",0.0001532684496896314,0.00015677667163126126,3.5082219416298634e-06,"2.29%"
class [[Lio.swagger.oas.annotations.links.Link;,995,0,-995,"-INF%",2,0,-2,"-INF%",0.07625105372059161,0.0,-0.07625105372059161,"-INF%",0.0001532684496896314,0.0,-0.0001532684496896314,"-INF%"
class java.lang.Integer,0,1,1,"INF%",0,1,1,"INF%",0.0,7.838833581563063e-05,7.838833581563063e-05,"INF%",0.0,7.838833581563063e-05,7.838833581563063e-05,"INF%"
class java.lang.Float,0,3,3,"INF%",0,1,1,"INF%",0.0,0.00023516500744689191,0.00023516500744689191,"INF%",0.0,7.838833581563063e-05,7.838833581563063e-05,"INF%"
class [Lio.swagger.oas.models.servers.Server;,0,1475,1475,"INF%",0,1,1,"INF%",0.0,0.11562279532805518,0.11562279532805518,"INF%",0.0,7.838833581563063e-05,7.838833581563063e-05,"INF%"
