Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public com.badlogic.gdx.graphics.Color com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.initialBackgroundColor",2990,1683,-1307,"-43.71%",0.15349075975359344,0.07121096725057122,-0.08227979250302223,"-53.61%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setHdpiMode(com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration$HdpiMode)",1091,2114,1023,"93.77%",0.05600616016427105,0.08944740627908945,0.033441246114818406,"59.71%"
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.audioDeviceSimultaneousSources",1959,744,-1215,"-62.02%",0.10056468172484599,0.03148007108403148,-0.0690846106408145,"-68.7%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowHeight(int)",3332,625,-2707,"-81.24%",0.17104722792607802,0.026444952187526446,-0.14460227573855156,"-84.54%"
"public static com.badlogic.gdx.Graphics$Monitor com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getPrimaryMonitor()",1,0,-1,"-INF%",5.13347022587269e-05,0.0,-5.13347022587269e-05,"-INF%"
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.audioDeviceBufferSize",1026,749,-277,"-27.0%",0.0526694045174538,0.03169163070153169,-0.020977773815922106,"-39.83%"
"public java.lang.String com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.title",1419,1152,-267,"-18.82%",0.07284394250513347,0.048743335872048744,-0.024100606633084727,"-33.09%"
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getwindowMinWidth()",1157,784,-373,"-32.24%",0.05939425051334702,0.033172548024033174,-0.026221702489313846,"-44.15%"
"Pixels",264,552,288,"109.09%",0.013552361396303902,0.023356181772023355,0.009803820375719453,"72.34%"
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowHeight",2432,759,-1673,"-68.79%",0.12484599589322382,0.032114749936532114,-0.0927312459566917,"-74.28%"
"public com.badlogic.gdx.Files$FileType com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.preferencesFileType",2922,940,-1982,"-67.83%",0.15,0.03977320809003977,-0.11022679190996022,"-73.48%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setPreferencesConfig(java.lang.String|com.badlogic.gdx.Files$FileType)",2613,1544,-1069,"-40.91%",0.1341375770020534,0.06532960988406533,-0.06880796711798806,"-51.3%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowResizable(boolean)",1868,1901,33,"1.77%",0.09589322381930185,0.08043496657358043,-0.015458257245721418,"-16.12%"
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowMaxHeight",2648,587,-2061,"-77.83%",0.13593429158110884,0.024837099094524837,-0.111097192486584,"-81.73%"
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getdisableAudio()",1304,836,-468,"-35.89%",0.06694045174537988,0.035372768046035376,-0.031567683699344505,"-47.16%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setWindowedMode(int|int)",834,867,33,"3.96%",0.042813141683778234,0.036684437674536684,-0.006128704009241551,"-14.32%"
