Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,28148,6317,-21831,"-77.56%",3,168,165,"5500.0%",1.431302756025628,0.2545535138620245,-1.1767492421636034,"-82.22%",0.00015254754398454185,0.006769825918762089,0.006617278374777547,"4337.85%"
class com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration$HdpiMode,10486,2045,-8441,"-80.5%",2,2,0,"0.0%",0.533204515407302,0.08240651192778853,-0.45079800347951343,"-84.55%",0.00010169836265636123,8.059316569954868e-05,-2.110519695681255e-05,"-20.75%"
class java.lang.Integer,52448,45873,-6575,"-12.54%",17,1854,1837,"10805.88%",2.666937862300417,1.8485251450676983,-0.8184127172327189,"-30.69%",0.0008644360825790704,0.07470986460348163,0.07384542852090256,"8542.61%"
class com.badlogic.gdx.Files$FileType,7024,5449,-1575,"-22.42%",1,5,4,"400.0%",0.35716464964914063,0.21957607994842038,-0.13758856970072025,"-38.52%",5.0849181328180614e-05,0.00020148291424887168,0.00015063373292069108,"296.24%"
class java.lang.Boolean,40062,17125,-22937,"-57.25%",2,2,0,"0.0%",2.0371199023695716,0.6900789813023855,-1.347040921067186,"-66.12%",0.00010169836265636123,8.059316569954868e-05,-2.110519695681255e-05,"-20.75%"
class java.lang.Class,347,289,-58,"-16.71%",4,4,0,"0.0%",0.017644665920878672,0.011645712443584784,-0.005998953477293888,"-34.0%",0.00020339672531272246,0.00016118633139909736,-4.22103939136251e-05,"-20.75%"
class com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration,34743,32670,-2073,"-5.97%",12012,10530,-1482,"-12.34%",1.7666531068849791,1.3164893617021276,-0.4501637451828515,"-25.48%",0.6108003661141056,0.4243230174081238,-0.18647734870598182,"-30.53%"
class com.badlogic.gdx.graphics.Color,3763,55454,51691,"1373.66%",1,2819,2818,"281800.0%",0.19134546933794366,2.234606705351386,2.0432612360134423,"1067.84%",5.0849181328180614e-05,0.11359606705351387,0.11354521787218569,"223298.03%"
class java.lang.Float,0,4205,4205,"INF%",0,682,682,"INF%",0.0,0.1694471308833011,0.1694471308833011,"INF%",0.0,0.0274822695035461,0.0274822695035461,"INF%"
