Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Object,1,1,0,"0.0%",1,1,0,"0.0%",3.742655039485011e-05,3.6086752553137746e-05,-1.3397978417123627e-06,"-3.58%",3.742655039485011e-05,3.6086752553137746e-05,-1.3397978417123627e-06,"-3.58%"
class java.lang.Class,3093,3152,59,"1.91%",3,3,0,"0.0%",0.11576032037127137,0.11374544404749017,-0.002014876323781209,"-1.74%",0.00011227965118455032,0.00010826025765941322,-4.019393525137095e-06,"-3.58%"
class com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration$HdpiMode,16246,11533,-4713,"-29.01%",2,2,0,"0.0%",0.6080317377147348,0.4161885171953376,-0.19184322051939723,"-31.55%",7.485310078970022e-05,7.217350510627549e-05,-2.6795956834247255e-06,"-3.58%"
class com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration,44240,47315,3075,"6.95%",21161,21963,802,"3.79%",1.6557505894681688,1.7074446970517123,0.051694107583543536,"3.12%",0.7919832329054232,0.7925733463245642,0.0005901134191410584,"0.07%"
