Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Boolean,7895,1027,-6868,"-86.99%",2,2,0,"0.0%",1.5621290067273448,0.5936416184971098,-0.968487388230235,"-62.0%",0.0003957261574990107,0.0011560693641618498,0.0007603432066628391,"192.14%"
class java.lang.Integer,7751,403,-7348,"-94.8%",2,2,0,"0.0%",1.533636723387416,0.2329479768786127,-1.3006887465088033,"-84.81%",0.0003957261574990107,0.0011560693641618498,0.0007603432066628391,"192.14%"
class org.antlr.v4.codegen.target.Python2Target$PythonStringRenderer,141,61,-80,"-56.74%",1,1,0,"0.0%",0.027898694103680254,0.03526011560693642,0.007361421503256166,"26.39%",0.00019786307874950534,0.0005780346820809249,0.00038017160333141955,"192.14%"
class [Ljava.lang.String;,6184,2270,-3914,"-63.29%",9,7,-2,"-22.22%",1.223585278986941,1.3121387283236994,0.08855344933675835,"7.24%",0.001780767708745548,0.004046242774566474,0.0022654750658209254,"127.22%"
class java.util.LinkedHashSet,3729,8,-3721,"-99.79%",6,1,-5,"-83.33%",0.7378314206569054,0.004624277456647399,-0.733207143200258,"-99.37%",0.001187178472497032,0.0005780346820809249,-0.0006091437904161072,"-51.31%"
class org.stringtemplate.v4.STGroupFile,1332,2050,718,"53.9%",1131,1655,524,"46.33%",0.2635536208943411,1.1849710982658959,0.9214174773715548,"349.61%",0.22378314206569055,0.9566473988439307,0.7328642567782402,"327.49%"
class org.antlr.v4.codegen.target.Python2Target,11858,3684,-8174,"-68.93%",2636,2247,-389,"-14.76%",2.3462603878116344,2.129479768786127,-0.21678061902550727,"-9.24%",0.5215670755836961,1.2988439306358381,0.7772768550521421,"149.03%"
class [I,319,113,-206,"-64.58%",12,10,-2,"-16.67%",0.06311832212109221,0.0653179190751445,0.0021995969540522936,"3.48%",0.002374356944994064,0.005780346820809248,0.003405989875815184,"143.45%"
class java.util.HashSet,1571,2882,1311,"83.45%",5,7,2,"40.0%",0.3108428967154729,1.6658959537572253,1.3550530570417525,"435.93%",0.0009893153937475267,0.004046242774566474,0.0030569273808189468,"308.99%"
class java.lang.Class,168,59,-109,"-64.88%",7,4,-3,"-42.86%",0.0332409972299169,0.03410404624277456,0.000863049012857664,"2.6%",0.0013850415512465374,0.0023121387283236996,0.0009270971770771622,"66.94%"
class java.lang.String,19612,6922,-12690,"-64.71%",429,249,-180,"-41.96%",3.8804907004352986,4.0011560693641615,0.12066536892886282,"3.11%",0.08488326078353779,0.1439306358381503,0.05904737505461251,"69.56%"
