Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"int[0]",6183,131,-6052,"-97.88%",0.3362153344208809,0.08081431215299198,-0.25540102226788897,"-75.96%"
"java.lang.String[53]",12,0,-12,"-INF%",0.0006525285481239804,0.0,-0.0006525285481239804,"-INF%"
"public final native java.lang.Class java.lang.Object.getClass()",607,129,-478,"-78.75%",0.033007069059271345,0.0795805058605799,0.04657343680130855,"141.1%"
"public java.lang.String[] org.antlr.v4.codegen.Target.targetCharValueEscape",6901,353,-6548,"-94.88%",0.3752582925502991,0.2177668106107341,-0.15749148193956497,"-41.97%"
"java.util.LinkedHashSet()",4036,305,-3731,"-92.44%",0.21946710168569875,0.1881554595928439,-0.031311642092854836,"-14.27%"
"public org.antlr.v4.codegen.CodeGenerator org.antlr.v4.codegen.Target.gen",4303,235,-4068,"-94.54%",0.2339858618814573,0.14497223935842074,-0.08901362252303657,"-38.04%"
"public org.stringtemplate.v4.STGroup org.antlr.v4.codegen.Target.getTemplates()",604,418,-186,"-30.79%",0.03284393692224035,0.2578655151141271,0.22502157819188673,"685.12%"
"public java.lang.String org.antlr.v4.codegen.Target.getLoopLabel(org.antlr.v4.tool.ast.GrammarAST)",644,62,-582,"-90.37%",0.03501903208265362,0.03824799506477483,0.0032289629821212126,"9.22%"
"public void org.antlr.v4.codegen.Target.genFile(org.antlr.v4.tool.Grammar|org.stringtemplate.v4.ST|java.lang.String)",651,52,-599,"-92.01%",0.03539967373572594,0.032078963602714373,-0.0033207101330115646,"-9.38%"
"java.lang.String[3]",3435,0,-3435,"-INF%",0.1867862969004894,0.0,-0.1867862969004894,"-INF%"
"java.lang.String[2]",2537,15,-2522,"-99.41%",0.13795541054921154,0.009253547193090685,-0.12870186335612085,"-93.29%"
"java.lang.String[1]",601,16,-585,"-97.34%",0.03268080478520935,0.00987045033929673,-0.022810354445912617,"-69.8%"
"public java.util.Set org.antlr.v4.codegen.target.Python3Target.getBadWords()",5298,70,-5228,"-98.68%",0.28809135399673735,0.0431832202344232,-0.24490813376231416,"-85.01%"
