Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [[[Lorg.elasticsearch.index.query.SimpleIndexQueryParserTests;,11,0,-11,"-INF%",6,0,-6,"-INF%",0.0004088611358905739,0.0,-0.0004088611358905739,"-INF%",0.00022301516503122213,0.0,-0.00022301516503122213,"-INF%"
class [Lorg.elasticsearch.test.ElasticsearchSingleNodeTest;,142,0,-142,"-INF%",87,0,-87,"-INF%",0.00527802557240559,0.0,-0.00527802557240559,"-INF%",0.003233719892952721,0.0,-0.003233719892952721,"-INF%"
class [Ljava.util.Collection;,8,2,-6,"-75.0%",3,1,-2,"-66.67%",0.0002973535533749628,7.518514341566107e-05,-0.00022216840995930174,"-74.72%",0.00011150758251561107,3.7592571707830533e-05,-7.391501080778053e-05,"-66.29%"
class org.elasticsearch.index.query.SimpleIndexQueryParserTests,30386,29543,-843,"-2.77%",30386,29543,-843,"-2.77%",1.1294231341064527,1.1105973459644374,-0.0188257881420153,"-1.67%",1.1294231341064527,1.1105973459644374,-0.0188257881420153,"-1.67%"
class [Ljava.io.Serializable;,4,0,-4,"-INF%",1,0,-1,"-INF%",0.0001486767766874814,0.0,-0.0001486767766874814,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%"
class [[Ljava.util.concurrent.ExecutorService;,34,19,-15,"-44.12%",2,6,4,"200.0%",0.001263752601843592,0.0007142588624487801,-0.0005494937393948119,"-43.48%",7.43383883437407e-05,0.0002255554302469832,0.0001512170419032425,"203.42%"
class [[[D,34,10,-24,"-70.59%",4,3,-1,"-25.0%",0.001263752601843592,0.0003759257170783053,-0.0008878268847652867,"-70.25%",0.0001486767766874814,0.0001127777151234916,-3.58990615639898e-05,"-24.15%"
class [[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,8,41,33,"412.5%",5,4,-1,"-20.0%",0.0002973535533749628,0.0015412954400210517,0.001243941886646089,"418.34%",0.00018584597085935178,0.00015037028683132213,-3.547568402802965e-05,"-19.09%"
class [Ljava.util.Locale;,23,45,22,"95.65%",10,7,-3,"-30.0%",0.0008548914659530181,0.001691665726852374,0.0008367742608993559,"97.88%",0.00037169194171870356,0.00026314800195481375,-0.00010854393976388982,"-29.2%"
class [S,1751,1742,-9,"-0.51%",68,70,2,"2.94%",0.06508325899494499,0.06548625991504078,0.0004030009200957918,"0.62%",0.002527505203687184,0.0026314800195481373,0.00010397481586095318,"4.11%"
