Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"float[0]",4738,3708,-1030,"-21.74%",0.17499538319482918,0.13793103448275862,-0.037064348712070566,"-21.18%"
"randoop.operation.ArrayElementSet@57bf9621",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"randoop.operation.ArrayElementSet@2e9b0304",3,0,-3,"-INF%",0.00011080332409972299,0.0,-0.00011080332409972299,"-INF%"
"public void org.apache.lucene.util.LuceneTestCase.restoreIndexWriterMaxDocs()",3775,5659,1884,"49.91%",0.1394275161588181,0.2105047799724733,0.0710772638136552,"50.98%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testRegexpBoostQuery() throws java.io.IOException",95,115,20,"21.05%",0.0035087719298245615,0.00427779637689246,0.0007690244470678989,"21.92%"
"public static double org.elasticsearch.test.ElasticsearchTestCase.randomDouble()",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][0]",5,0,-5,"-INF%",0.00018467220683287164,0.0,-0.00018467220683287164,"-INF%"
"public static long org.elasticsearch.test.ElasticsearchTestCase.randomLong()",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][3]",11,0,-11,"-INF%",0.0004062788550323176,0.0,-0.0004062788550323176,"-INF%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][4]",3,3,0,"0.0%",0.00011080332409972299,0.00011159468809284678,7.913639931237954e-07,"0.71%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_NIGHTLY",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSimpleQueryString() throws java.lang.Exception",110,117,7,"6.36%",0.004062788550323176,0.004352192835621024,0.0002894042852978479,"7.12%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testQueryStringFields1Builder() throws java.lang.Exception",88,94,6,"6.82%",0.003250230840258541,0.0034966335602425323,0.00024640271998399143,"7.58%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][5]",22,1,-21,"-95.45%",0.0008125577100646352,3.719822936428226e-05,-0.000775359480700353,"-95.42%"
"org.apache.lucene.store.MockDirectoryWrapper$Throttling[][][3]",4,0,-4,"-INF%",0.00014773776546629733,0.0,-0.00014773776546629733,"-INF%"
"org.apache.lucene.store.MockDirectoryWrapper$Throttling[][][4]",1,15,14,"1400.0%",3.6934441366574334e-05,0.0005579734404642339,0.0005210389990976596,"1410.71%"
"public static java.util.List org.elasticsearch.test.ElasticsearchTestCase.randomSubsetOf(int|java.lang.Object[])",3900,5074,1174,"30.1%",0.1440443213296399,0.1887438157943682,0.04469949446472829,"31.03%"
