Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,17452,31214,13762,"78.86%",18,18,0,"0.0%",1.4207098664929991,2.5964065879221425,1.1756967214291434,"82.75%",0.001465320742429176,0.0014972550324405256,3.1934290011349526e-05,"2.18%"
class java.lang.Long,1791,636,-1155,"-64.49%",1572,618,-954,"-60.69%",0.14579941387170303,0.05290301114623191,-0.09289640272547112,"-63.72%",0.12797134483881473,0.05140575611379138,-0.07656558872502334,"-59.83%"
class com.netflix.appinfo.AbstractInstanceConfig$1,3384,3148,-236,"-6.97%",1,1,0,"0.0%",0.27548029957668513,0.2618532690068208,-0.013627030569864307,"-4.95%",8.140670791273201e-05,8.318083513558476e-05,1.77412722285275e-06,"2.18%"
class java.util.LinkedHashSet,816,949,133,"16.3%",2,2,0,"0.0%",0.06642787365678932,0.07893861254366993,0.012510738886880618,"18.83%",0.00016281341582546403,0.00016636167027116953,3.5482544457055e-06,"2.18%"
class java.util.concurrent.ConcurrentHashMap,1284,1755,471,"36.68%",20,23,3,"15.0%",0.1045262129599479,0.14598236566295125,0.041456152703003346,"39.66%",0.0016281341582546401,0.0019131592081184496,0.00028502504986380943,"17.51%"
class java.lang.Integer,14081,9005,-5076,"-36.05%",13,8,-5,"-38.46%",1.1462878541191794,0.7490434203959407,-0.3972444337232387,"-34.65%",0.001058287202865516,0.0006654466810846781,-0.0003928405217808379,"-37.12%"
class com.netflix.appinfo.InstanceInfo,13882,33507,19625,"141.37%",11366,17434,6068,"53.39%",1.1300879192445457,2.7871402428880385,1.6570523236434929,"146.63%",0.925268642136112,1.4501746797537847,0.5249060376176726,"56.73%"
class com.netflix.appinfo.MyDataCenterInstanceConfig,8960,34084,25124,"280.4%",8826,17279,8453,"95.77%",0.7294041028980788,2.835135584761271,2.1057314818631925,"288.69%",0.7184956040377727,1.437281650307769,0.7187860462699963,"100.04%"
class com.netflix.appinfo.InstanceInfo$InstanceStatus,9263,9467,204,"2.2%",5,5,0,"0.0%",0.7540703353956366,0.787472966228581,0.03340263083294437,"4.43%",0.00040703353956366003,0.0004159041756779238,8.870636114263763e-06,"2.18%"
class com.netflix.appinfo.InstanceInfo$PortType,2601,2313,-288,"-11.07%",2,2,0,"0.0%",0.21173884728101597,0.19239727166860754,-0.01934157561240843,"-9.13%",0.00016281341582546403,0.00016636167027116953,3.5482544457055e-06,"2.18%"
class com.netflix.appinfo.InstanceInfo$ActionType,18907,1481,-17426,"-92.17%",3,3,0,"0.0%",1.5391566265060241,0.12319081683580103,-1.415965809670223,"-92.0%",0.00024422012373819603,0.00024954250540675427,5.322381668558236e-06,"2.18%"
class com.netflix.appinfo.LeaseInfo,10,123,113,"1130.0%",1,1,0,"0.0%",0.0008140670791273201,0.010231242721676926,0.009417175642549607,"1156.81%",8.140670791273201e-05,8.318083513558476e-05,1.77412722285275e-06,"2.18%"
class com.netflix.appinfo.InstanceInfo$Builder,172937,91105,-81832,"-47.32%",118,105,-13,"-11.02%",14.078231846304135,7.57818998502745,-6.500041861276685,"-46.17%",0.009605991533702377,0.0087339876892364,-0.0008720038444659777,"-9.08%"
class java.util.LinkedHashMap,4053,1818,-2235,"-55.14%",17,19,2,"11.76%",0.32994138717030286,0.1512227582764931,-0.17871862889380977,"-54.17%",0.0013839140345164442,0.0015804358675761104,0.00019652183305966624,"14.2%"
class com.netflix.appinfo.ApplicationInfoManager,3080,30642,27562,"894.87%",2781,28298,25517,"917.55%",0.2507326603712146,2.548827150224588,2.2980944898533733,"916.55%",0.2263920547053077,2.3538512726667777,2.12745921796147,"939.72%"
class java.lang.Boolean,9393,7637,-1756,"-18.69%",2,2,0,"0.0%",0.7646532074242918,0.6352520379304608,-0.12940116949383096,"-16.92%",0.00016281341582546403,0.00016636167027116953,3.5482544457055e-06,"2.18%"
class java.lang.Class,276,216,-60,"-21.74%",10,10,0,"0.0%",0.022468251383914034,0.017967060389286308,-0.004501190994627726,"-20.03%",0.0008140670791273201,0.0008318083513558476,1.7741272228527527e-05,"2.18%"
class [Ljava.lang.String;,158,165,7,"4.43%",36,20,-16,"-44.44%",0.012862259850211657,0.013724837797371485,0.0008625779471598278,"6.71%",0.002930641484858352,0.0016636167027116952,-0.001267024782146657,"-43.23%"
