Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class io.cloudslang.lang.api.SlangImpl,35804,14211,-21593,"-60.31%",1,1,0,"0.0%",1.1507360030854277,0.8020204300468424,-0.34871557303858525,"-30.3%",3.2139872726104e-05,5.6436593487217114e-05,2.4296720761113112e-05,"75.6%"
class java.lang.Boolean,4046,32647,28601,"706.9%",2,2,0,"0.0%",0.13003792504981682,1.8424854675771771,1.7124475425273604,"1316.88%",6.4279745452208e-05,0.00011287318697443423,4.8593441522226224e-05,"75.6%"
class java.lang.Object,1,0,-1,"-INF%",1,0,-1,"-INF%",3.2139872726104e-05,0.0,-3.2139872726104e-05,"-INF%",3.2139872726104e-05,0.0,-3.2139872726104e-05,"-INF%"
class java.lang.Class,3497,7482,3985,"113.95%",3,8,5,"166.67%",0.1123931349231857,0.42225859247135844,0.30986545754817274,"275.7%",9.641961817831202e-05,0.0004514927478977369,0.0003550731297194249,"368.26%"
class java.util.HashSet,54591,22557,-32034,"-58.68%",1,1,0,"0.0%",1.7545477919907437,1.2730402392911564,-0.48150755269958734,"-27.44%",3.2139872726104e-05,5.6436593487217114e-05,2.4296720761113112e-05,"75.6%"
class java.util.LinkedHashSet,4046,841,-3205,"-79.21%",4,6,2,"50.0%",0.13003792504981682,0.04746317512274959,-0.08257474992706723,"-63.5%",0.000128559490904416,0.00033861956092330267,0.00021006007001888666,"163.4%"
class [Ljava.lang.String;,7,5,-2,"-28.57%",4,5,1,"25.0%",0.00022497910908272803,0.0002821829674360856,5.720385835335755e-05,"25.43%",0.000128559490904416,0.0002821829674360856,0.00015362347653166957,"119.5%"
class [Lio.cloudslang.lang.compiler.SlangSource;,4039,836,-3203,"-79.3%",1,1,0,"0.0%",0.1298129459407341,0.0471809921553135,-0.08263195378542058,"-63.65%",3.2139872726104e-05,5.6436593487217114e-05,2.4296720761113112e-05,"75.6%"
class [Ljava.lang.Object;,0,157,157,"INF%",0,18,18,"INF%",0.0,0.008860545177493087,0.008860545177493087,"INF%",0.0,0.001015858682769908,0.001015858682769908,"INF%"
class org.apache.log4j.Logger,0,57008,57008,"INF%",0,10,10,"INF%",0.0,3.217337321519273,3.217337321519273,"INF%",0.0,0.0005643659348721712,0.0005643659348721712,"INF%"
class org.apache.log4j.Level,0,26579,26579,"INF%",0,1,1,"INF%",0.0,1.5000282182967437,1.5000282182967437,"INF%",0.0,5.6436593487217114e-05,5.6436593487217114e-05,"INF%"
class java.util.Vector$1,0,1,1,"INF%",0,1,1,"INF%",0.0,5.6436593487217114e-05,5.6436593487217114e-05,"INF%",0.0,5.6436593487217114e-05,5.6436593487217114e-05,"INF%"
class org.apache.log4j.Hierarchy,0,8037,8037,"INF%",0,1,1,"INF%",0.0,0.4535809018567639,0.4535809018567639,"INF%",0.0,5.6436593487217114e-05,5.6436593487217114e-05,"INF%"
class java.lang.String,0,3623,3623,"INF%",0,8,8,"INF%",0.0,0.2044697782041876,0.2044697782041876,"INF%",0.0,0.0004514927478977369,0.0004514927478977369,"INF%"
class org.apache.log4j.helpers.NullEnumeration,0,2089,2089,"INF%",0,1,1,"INF%",0.0,0.11789604379479654,0.11789604379479654,"INF%",0.0,5.6436593487217114e-05,5.6436593487217114e-05,"INF%"
class org.apache.log4j.spi.RootLogger,0,8898,8898,"INF%",0,1,1,"INF%",0.0,0.5021728088492579,0.5021728088492579,"INF%",0.0,5.6436593487217114e-05,5.6436593487217114e-05,"INF%"
