Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Long,174131,175248,1117,"0.64%",1,1,0,"0.0%",5.603031083081279,5.6084744135437,0.005443330462420626,"0.1%",3.217710277366626e-05,3.2003072294940317e-05,-1.74030478725943e-07,"-0.54%"
class java.lang.Object,1,1,0,"0.0%",1,1,0,"0.0%",3.217710277366626e-05,3.2003072294940317e-05,-1.74030478725943e-07,"-0.54%",3.217710277366626e-05,3.2003072294940317e-05,-1.74030478725943e-07,"-0.54%"
class rx.concurrency.TestScheduler,31077,31246,169,"0.54%",31077,31246,169,"0.54%",0.9999678228972263,0.9999679969277051,1.7403047880559797e-07,"0.0%",0.9999678228972263,0.9999679969277051,1.7403047880559797e-07,"0.0%"
class java.lang.Class,3783,3797,14,"0.37%",3,3,0,"0.0%",0.12172597979277945,0.12151566550388837,-0.00021031428889108084,"-0.17%",9.653130832099878e-05,9.600921688482094e-05,-5.220914361778357e-07,"-0.54%"
class rx.subscriptions.Subscriptions$3,149260,150166,906,"0.61%",1,1,0,"0.0%",4.802754359997426,4.805773354242008,0.003018994244581741,"0.06%",3.217710277366626e-05,3.2003072294940317e-05,-1.74030478725943e-07,"-0.54%"
