Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Long,36085,37860,1775,"4.92%",9,9,0,"0.0%",2.407592740859354,2.264354066985646,-0.14323867387370814,"-5.95%",0.0006004803843074459,0.0005382775119617225,-6.220287234572346e-05,"-10.36%"
class java.util.PriorityQueue,28713,23781,-4932,"-17.18%",12296,11602,-694,"-5.64%",1.915732586068855,1.4223086124401914,-0.49342397362866364,"-25.76%",0.8203896450493728,0.6938995215311005,-0.12649012351827238,"-15.42%"
class java.util.Collections$ReverseComparator2,20521,32861,12340,"60.13%",14781,22656,7875,"53.28%",1.3691619962636776,1.9653708133971293,0.5962088171334516,"43.55%",0.9861889511609288,1.3550239234449761,0.3688349722840474,"37.4%"
class rx.concurrency.TestScheduler,13658,15074,1416,"10.37%",13658,15074,1416,"10.37%",0.9112623432078997,0.901555023923445,-0.009707319284454674,"-1.07%",0.9112623432078997,0.901555023923445,-0.009707319284454674,"-1.07%"
class rx.concurrency.TestScheduler$CompareActionsByTime,32651,40490,7839,"24.01%",1,1,0,"0.0%",2.178476114224713,2.4216507177033493,0.24317460347863618,"11.16%",6.672004270082733e-05,5.980861244019139e-05,-6.911430260635939e-06,"-10.36%"
class java.util.Comparator$$Lambda$161/1909398279,30368,0,-30368,"-INF%",1,0,-1,"-INF%",2.0261542567387245,0.0,-2.0261542567387245,"-INF%",6.672004270082733e-05,0.0,-6.672004270082733e-05,"-INF%"
class java.lang.Class,1527,1663,136,"8.91%",6,7,1,"16.67%",0.10188150520416334,0.09946172248803828,-0.0024197827161250574,"-2.38%",0.00040032025620496394,0.0004186602870813397,1.8340030876375774e-05,"4.58%"
class rx.subscriptions.Subscriptions$3,6508,10248,3740,"57.47%",1,1,0,"0.0%",0.43421403789698426,0.6129186602870813,0.17870462239009705,"41.16%",6.672004270082733e-05,5.980861244019139e-05,-6.911430260635939e-06,"-10.36%"
class java.lang.Object,0,1,1,"INF%",0,1,1,"INF%",0.0,5.980861244019139e-05,5.980861244019139e-05,"INF%",0.0,5.980861244019139e-05,5.980861244019139e-05,"INF%"
class java.util.Comparator$$Lambda$209/1208432687,0,18557,18557,"INF%",0,1,1,"INF%",0.0,1.1098684210526315,1.1098684210526315,"INF%",0.0,5.980861244019139e-05,5.980861244019139e-05,"INF%"
