Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Long,71556,65975,-5581,"-7.8%",1,1,0,"0.0%",2.447446728460512,2.0778873106358855,-0.36955941782462665,"-15.1%",3.420323562609023e-05,3.149507102138515e-05,-2.7081646047050784e-06,"-7.92%"
class java.lang.Object,1,0,-1,"-INF%",1,0,-1,"-INF%",3.420323562609023e-05,0.0,-3.420323562609023e-05,"-INF%",3.420323562609023e-05,0.0,-3.420323562609023e-05,"-INF%"
class rx.concurrency.TestScheduler,29236,31751,2515,"8.6%",29236,31751,2515,"8.6%",0.9999657967643739,1.0,3.420323562608463e-05,"0.0%",0.9999657967643739,1.0,3.420323562608463e-05,"0.0%"
class java.lang.Class,2444,2681,237,"9.7%",3,2,-1,"-33.33%",0.08359270787016451,0.08443828540833359,0.0008455775381690789,"1.01%",0.00010260970687827069,6.29901420427703e-05,-3.961956483550038e-05,"-38.61%"
class rx.concurrency.TestScheduler$1,243461,183069,-60392,"-24.81%",1,1,0,"0.0%",8.327153948763552,5.765771156813958,-2.561382791949594,"-30.76%",3.420323562609023e-05,3.149507102138515e-05,-2.7081646047050784e-06,"-7.92%"
