Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public rx.Subscription rx.Scheduler.schedulePeriodically(rx.util.functions.Func1|long|long|java.util.concurrent.TimeUnit)",2875,3122,247,"8.59%",0.0983343024250094,0.09832761172876445,-6.6906962449542196e-06,"-0.01%"
"public rx.Subscription rx.Scheduler.schedulePeriodically(rx.util.functions.Action0|long|long|java.util.concurrent.TimeUnit)",2925,3182,257,"8.79%",0.10004446420631392,0.10021731599004756,0.0001728517837336352,"0.17%"
"public rx.Subscription rx.Scheduler.schedulePeriodically(rx.util.functions.Func0|long|long|java.util.concurrent.TimeUnit)",2786,3051,265,"9.51%",0.09529021445428737,0.0960914616862461,0.0008012472319587349,"0.84%"
"public void rx.concurrency.TestScheduler.advanceTimeBy(long|java.util.concurrent.TimeUnit)",2861,3098,237,"8.28%",0.09785545712624415,0.09757173002425121,-0.0002837271019929394,"-0.29%"
"rx.concurrency.TestScheduler()",29236,31751,2515,"8.6%",0.9999657967643739,1.0,3.420323562608463e-05,"0.0%"
"public void rx.concurrency.TestScheduler.triggerActions()",2325,46055,43730,"1880.86%",0.07952252283065978,1.4505054958898933,1.3709829730592336,"1724.02%"
"public void rx.concurrency.TestScheduler.advanceTimeTo(long|java.util.concurrent.TimeUnit)",2857,3153,296,"10.36%",0.09771864418373978,0.09930395893042739,0.001585314746687605,"1.62%"
"public long rx.concurrency.TestScheduler.now()",71556,65975,-5581,"-7.8%",2.447446728460512,2.0778873106358855,-0.36955941782462665,"-15.1%"
"public final native java.lang.Class java.lang.Object.getClass()",2444,2681,237,"9.7%",0.08359270787016451,0.08443828540833359,0.0008455775381690789,"1.01%"
"public rx.Subscription rx.Scheduler.schedule(rx.util.functions.Func1|long|java.util.concurrent.TimeUnit)",2884,3098,214,"7.42%",0.09864213154564422,0.09757173002425121,-0.0010704015213930107,"-1.09%"
"public rx.Subscription rx.Scheduler.schedule(rx.util.functions.Action0)",95518,60291,-35227,"-36.88%",3.2670246605328863,1.8988693269503323,-1.368155333582554,"-41.88%"
"public rx.Subscription rx.Scheduler.schedule(rx.util.functions.Func0)",88560,57405,-31155,"-35.18%",3.0290385470465506,1.8079745519826147,-1.221063995063936,"-40.31%"
"public rx.Subscription rx.Scheduler.schedule(rx.util.functions.Action0|long|java.util.concurrent.TimeUnit)",2906,3148,242,"8.33%",0.0993946027294182,0.09914648357532047,-0.00024811915409773955,"-0.25%"
"public rx.Subscription rx.Scheduler.schedule(rx.util.functions.Func0|long|java.util.concurrent.TimeUnit)",2950,3161,211,"7.15%",0.10089954509696618,0.09955591949859847,-0.0013436255983677037,"-1.33%"
"public rx.Subscription rx.Scheduler.schedule(rx.util.functions.Func1)",59383,65373,5990,"10.09%",2.031090741184116,2.0589272778810117,0.027836536696895564,"1.37%"
"java.lang.Object()",1,0,-1,"-INF%",3.420323562609023e-05,0.0,-3.420323562609023e-05,"-INF%"
