Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [Ljava.util.List;,84,52,-32,"-38.1%",40,21,-19,"-47.5%",0.0035888233786208665,0.0023502824858757064,-0.0012385408927451601,"-34.51%",0.001708963513628984,0.0009491525423728814,-0.0007598109712561025,"-44.46%"
class [Ljava.util.Collection;,128,4,-124,"-96.88%",33,2,-31,"-93.94%",0.005468683243612749,0.0001807909604519774,-0.0052878922831607715,"-96.69%",0.0014098948987439118,9.03954802259887e-05,-0.001319499418517923,"-93.59%"
class [[[[Ljava.util.Locale;,3,90,87,"2900.0%",2,3,1,"50.0%",0.0001281722635221738,0.004067796610169492,0.003939624346647318,"3073.69%",8.54481756814492e-05,0.00013559322033898305,5.0145044657533844e-05,"58.68%"
class [B,5525,6927,1402,"25.38%",93,71,-22,"-23.66%",0.23605058532000342,0.3130847457627119,0.07703416044270847,"32.63%",0.003973340169187388,0.003209039548022599,-0.0007643006211647888,"-19.24%"
class [[Ljava.lang.reflect.GenericDeclaration;,86,1,-85,"-98.84%",4,1,-3,"-75.0%",0.0036742715543023156,4.519774011299435e-05,-0.0036290738141893215,"-98.77%",0.0001708963513628984,4.519774011299435e-05,-0.00012569861124990406,"-73.55%"
class [[[[Ljava.util.Set;,4,0,-4,"-INF%",2,0,-2,"-INF%",0.0001708963513628984,0.0,-0.0001708963513628984,"-INF%",8.54481756814492e-05,0.0,-8.54481756814492e-05,"-INF%"
class [[[[Lorg.junit.rules.TestRule;,8,0,-8,"-INF%",2,0,-2,"-INF%",0.0003417927027257968,0.0,-0.0003417927027257968,"-INF%",8.54481756814492e-05,0.0,-8.54481756814492e-05,"-INF%"
class [C,7507,7820,313,"4.17%",63,82,19,"30.16%",0.3207297274203196,0.35344632768361584,0.03271660026329626,"10.2%",0.00269161753396565,0.003706214689265537,0.001014597155299887,"37.69%"
class java.lang.Object,1,13,12,"1200.0%",1,1,0,"0.0%",4.27240878407246e-05,0.0005875706214689266,0.000544846533628202,"1275.27%",4.27240878407246e-05,4.519774011299435e-05,2.473652272269747e-06,"5.79%"
class [[Ljava.util.Set;,46,14,-32,"-69.57%",2,3,1,"50.0%",0.0019653080406733317,0.0006327683615819209,-0.001332539679091411,"-67.8%",8.54481756814492e-05,0.00013559322033898305,5.0145044657533844e-05,"58.68%"
class [[[[Ljava.util.concurrent.ExecutorService;,7,6,-1,"-14.29%",3,5,2,"66.67%",0.0002990686148850722,0.0002711864406779661,-2.7882174207106113e-05,"-9.32%",0.0001281722635221738,0.00022598870056497175,9.781643704279795e-05,"76.32%"
class [Ljava.util.Set;,26,16,-10,"-38.46%",8,2,-6,"-75.0%",0.0011108262838588395,0.0007231638418079096,-0.0003876624420509299,"-34.9%",0.0003417927027257968,9.03954802259887e-05,-0.0002513972224998081,"-73.55%"
class [[[[J,3,0,-3,"-INF%",2,0,-2,"-INF%",0.0001281722635221738,0.0,-0.0001281722635221738,"-INF%",8.54481756814492e-05,0.0,-8.54481756814492e-05,"-INF%"
class [[[S,64,21,-43,"-67.19%",11,7,-4,"-36.36%",0.0027343416218063746,0.0009491525423728814,-0.0017851890794334932,"-65.29%",0.0004699649662479706,0.00031638418079096045,-0.00015358078545701015,"-32.68%"
class [[[[C,6,0,-6,"-INF%",2,0,-2,"-INF%",0.0002563445270443476,0.0,-0.0002563445270443476,"-INF%",8.54481756814492e-05,0.0,-8.54481756814492e-05,"-INF%"
class [F,4954,9597,4643,"93.72%",67,17,-50,"-74.63%",0.21165513116294968,0.4337627118644068,0.2221075807014571,"104.94%",0.0028625138853285484,0.000768361581920904,-0.0020941523034076447,"-73.16%"
class [[[[[J,3,0,-3,"-INF%",2,0,-2,"-INF%",0.0001281722635221738,0.0,-0.0001281722635221738,"-INF%",8.54481756814492e-05,0.0,-8.54481756814492e-05,"-INF%"
class [Lorg.apache.lucene.util.LuceneTestCase;,3,148,145,"4833.33%",3,101,98,"3266.67%",0.0001281722635221738,0.006689265536723164,0.00656109327320099,"5118.96%",0.0001281722635221738,0.00456497175141243,0.004436799487890256,"3461.59%"
class [[[Ljava.util.concurrent.ExecutorService;,47,34,-13,"-27.66%",8,8,0,"0.0%",0.002008032128514056,0.001536723163841808,-0.00047130896467224804,"-23.47%",0.0003417927027257968,0.0003615819209039548,1.9789218178157977e-05,"5.79%"
class [[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,191,11,-180,"-94.24%",3,3,0,"0.0%",0.008160300777578398,0.0004971751412429379,-0.00766312563633546,"-93.91%",0.0001281722635221738,0.00013559322033898305,7.420956816809248e-06,"5.79%"
class java.util.ArrayList,78,3,-75,"-96.15%",78,2,-76,"-97.44%",0.0033324788515765188,0.00013559322033898305,-0.0031968856312375358,"-95.93%",0.0033324788515765188,9.03954802259887e-05,-0.00324208337135053,"-97.29%"
class [[Ljava.lang.Class;,154,0,-154,"-INF%",2,0,-2,"-INF%",0.006579509527471589,0.0,-0.006579509527471589,"-INF%",8.54481756814492e-05,0.0,-8.54481756814492e-05,"-INF%"
class [[I,7,169,162,"2314.29%",7,5,-2,"-28.57%",0.0002990686148850722,0.007638418079096045,0.007339349464210973,"2454.07%",0.0002990686148850722,0.00022598870056497175,-7.307991432010046e-05,"-24.44%"
class [[B,15,4,-11,"-73.33%",4,4,0,"0.0%",0.000640861317610869,0.0001807909604519774,-0.0004600703571588916,"-71.79%",0.0001708963513628984,0.0001807909604519774,9.894609089078989e-06,"5.79%"
class [Lorg.junit.rules.TestRule;,63,1,-62,"-98.41%",35,1,-34,"-97.14%",0.00269161753396565,4.519774011299435e-05,-0.0026464197938526556,"-98.32%",0.001495343074425361,4.519774011299435e-05,-0.0014501453343123665,"-96.98%"
class [[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,131,49,-82,"-62.6%",4,3,-1,"-25.0%",0.005596855507134923,0.002214689265536723,-0.0033821662415982,"-60.43%",0.0001708963513628984,0.00013559322033898305,-3.530313102391536e-05,"-20.66%"
class java.lang.Boolean,17300,17134,-166,"-0.96%",2,2,0,"0.0%",0.7391267196445356,0.7744180790960452,0.03529135945150963,"4.77%",8.54481756814492e-05,9.03954802259887e-05,4.947304544539494e-06,"5.79%"
class [[[Ljava.lang.reflect.GenericDeclaration;,9,0,-9,"-INF%",4,0,-4,"-INF%",0.00038451679056652143,0.0,-0.00038451679056652143,"-INF%",0.0001708963513628984,0.0,-0.0001708963513628984,"-INF%"
class [[[Ljava.lang.String;,68,2,-66,"-97.06%",8,2,-6,"-75.0%",0.0029052379731692728,9.03954802259887e-05,-0.002814842492943284,"-96.89%",0.0003417927027257968,9.03954802259887e-05,-0.0002513972224998081,"-73.55%"
class [Ljava.util.concurrent.ExecutorService;,8228,13289,5061,"61.51%",2,2,0,"0.0%",0.351533794753482,0.600632768361582,0.24909897360809996,"70.86%",8.54481756814492e-05,9.03954802259887e-05,4.947304544539494e-06,"5.79%"
class [[S,295,77,-218,"-73.9%",11,11,0,"0.0%",0.012603605913013757,0.003480225988700565,-0.009123379924313193,"-72.39%",0.0004699649662479706,0.0004971751412429379,2.7210174994967307e-05,"5.79%"
class [Ljava.lang.reflect.Type;,1,13,12,"1200.0%",1,2,1,"100.0%",4.27240878407246e-05,0.0005875706214689266,0.000544846533628202,"1275.27%",4.27240878407246e-05,9.03954802259887e-05,4.76713923852641e-05,"111.58%"
class [Ljava.lang.Class;,80,16,-64,"-80.0%",6,5,-1,"-16.67%",0.003417927027257968,0.0007231638418079096,-0.0026947631854500583,"-78.84%",0.0002563445270443476,0.00022598870056497175,-3.0355826479375853e-05,"-11.84%"
class [S,7627,5392,-2235,"-29.3%",35,61,26,"74.29%",0.3258566179612065,0.24370621468926554,-0.08215040327194098,"-25.21%",0.001495343074425361,0.0027570621468926554,0.0012617190724672944,"84.38%"
class [Ljava.lang.reflect.AnnotatedElement;,5,106,101,"2020.0%",3,6,3,"100.0%",0.000213620439203623,0.004790960451977401,0.004577340012773778,"2142.74%",0.0001281722635221738,0.0002711864406779661,0.0001430141771557923,"111.58%"
class [[Ljava.util.List;,6,8,2,"33.33%",3,2,-1,"-33.33%",0.0002563445270443476,0.0003615819209039548,0.0001052373938596072,"41.05%",0.0001281722635221738,9.03954802259887e-05,-3.77767832961851e-05,"-29.47%"
class [Ljava.lang.Object;,6,1890,1884,"31400.0%",5,16,11,"220.0%",0.0002563445270443476,0.08542372881355932,0.08516738428651498,"33223.8%",0.000213620439203623,0.0007231638418079096,0.0005095434026042866,"238.53%"
class [[[[[Lorg.junit.rules.TestRule;,1,0,-1,"-INF%",1,0,-1,"-INF%",4.27240878407246e-05,0.0,-4.27240878407246e-05,"-INF%",4.27240878407246e-05,0.0,-4.27240878407246e-05,"-INF%"
class [[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,41,51,10,"24.39%",7,5,-2,"-28.57%",0.0017516876014697087,0.0023050847457627118,0.0005533971442930031,"31.59%",0.0002990686148850722,0.00022598870056497175,-7.307991432010046e-05,"-24.44%"
class java.util.ArrayList$SubList,1027,817,-210,"-20.45%",481,709,228,"47.4%",0.043877638212424165,0.036926553672316384,-0.006951084540107781,"-15.84%",0.020550286251388532,0.032045197740112996,0.011494911488724464,"55.94%"
class [Lorg.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest;,112,26,-86,"-76.79%",112,18,-94,"-83.93%",0.004785097838161155,0.0011751412429378532,-0.003609956595223302,"-75.44%",0.004785097838161155,0.0008135593220338983,-0.003971538516127257,"-83.0%"
class org.apache.lucene.store.MockDirectoryWrapper$Throttling,704,321,-383,"-54.4%",1,1,0,"0.0%",0.030077757839870118,0.014508474576271186,-0.015569283263598932,"-51.76%",4.27240878407246e-05,4.519774011299435e-05,2.473652272269747e-06,"5.79%"
class [[Ljava.lang.Iterable;,4,136,132,"3300.0%",1,24,23,"2300.0%",0.0001708963513628984,0.006146892655367232,0.005975996304004334,"3496.85%",4.27240878407246e-05,0.0010847457627118644,0.0010420216748711398,"2438.96%"
class [J,5334,3447,-1887,"-35.38%",137,60,-77,"-56.2%",0.22789028454242502,0.15579661016949153,-0.07209367437293349,"-31.64%",0.00585320003417927,0.002711864406779661,-0.0031413356273996087,"-53.67%"
class java.lang.String,2736,9502,6766,"247.3%",12,12,0,"0.0%",0.11689310433222251,0.4294689265536723,0.3125758222214498,"267.4%",0.0005126890540886952,0.0005423728813559322,2.9683827267236993e-05,"5.79%"
class [Ljava.lang.Cloneable;,1,0,-1,"-INF%",1,0,-1,"-INF%",4.27240878407246e-05,0.0,-4.27240878407246e-05,"-INF%",4.27240878407246e-05,0.0,-4.27240878407246e-05,"-INF%"
class [[Lorg.apache.lucene.search.QueryCachingPolicy;,2,5,3,"150.0%",1,4,3,"300.0%",8.54481756814492e-05,0.00022598870056497175,0.00014054052488352253,"164.47%",4.27240878407246e-05,0.0001807909604519774,0.0001380668726112528,"323.16%"
class [Lorg.elasticsearch.test.ESTestCase;,1,19,18,"1800.0%",1,19,18,"1800.0%",4.27240878407246e-05,0.0008587570621468927,0.0008160329743061681,"1910.01%",4.27240878407246e-05,0.0008587570621468927,0.0008160329743061681,"1910.01%"
class [[[[S,23,4,-19,"-82.61%",7,2,-5,"-71.43%",0.0009826540203366659,0.0001807909604519774,-0.0008018630598846885,"-81.6%",0.0002990686148850722,9.03954802259887e-05,-0.0002086731346590835,"-69.77%"
class [[[Ljava.util.Set;,16,0,-16,"-INF%",2,0,-2,"-INF%",0.0006835854054515936,0.0,-0.0006835854054515936,"-INF%",8.54481756814492e-05,0.0,-8.54481756814492e-05,"-INF%"
class org.elasticsearch.common.logging.log4j.Log4jESLogger,10132,11087,955,"9.43%",1,1,0,"0.0%",0.43288045800222164,0.5011073446327684,0.06822688663054677,"15.76%",4.27240878407246e-05,4.519774011299435e-05,2.473652272269747e-06,"5.79%"
class [Ljava.lang.CharSequence;,562,2,-560,"-99.64%",82,2,-80,"-97.56%",0.024010937366487226,9.03954802259887e-05,-0.023920541886261238,"-99.62%",0.0035033752029394174,9.03954802259887e-05,-0.0034129797227134286,"-97.42%"
class [[Ljava.util.Collection;,8,0,-8,"-INF%",4,0,-4,"-INF%",0.0003417927027257968,0.0,-0.0003417927027257968,"-INF%",0.0001708963513628984,0.0,-0.0001708963513628984,"-INF%"
class [Ljava.lang.reflect.GenericDeclaration;,250,19,-231,"-92.4%",8,7,-1,"-12.5%",0.01068102196018115,0.0008587570621468927,-0.009822264898034257,"-91.96%",0.0003417927027257968,0.00031638418079096045,-2.5408521934836372e-05,"-7.43%"
class [[D,41,134,93,"226.83%",6,8,2,"33.33%",0.0017516876014697087,0.006056497175141243,0.004304809573671534,"245.75%",0.0002563445270443476,0.0003615819209039548,0.0001052373938596072,"41.05%"
class [[Lorg.elasticsearch.common.logging.ESLogger;,3,118,115,"3833.33%",3,27,24,"800.0%",0.0001281722635221738,0.005333333333333333,0.005205161069811159,"4061.07%",0.0001281722635221738,0.0012203389830508474,0.0010921667195286735,"852.11%"
