Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static org.apache.lucene.store.MockDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newMockDirectory()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static org.apache.lucene.store.MockDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newMockDirectory(java.util.Random|org.apache.lucene.store.LockFactory)",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"float[][][][][5]",3,0,-3,"-INF%",0.00013333333333333334,0.0,-0.00013333333333333334,"-INF%"
"org.junit.rules.RuleChain[][][][][5]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"randoop.operation.UncheckedCast@75bf19cc",194,0,-194,"-INF%",0.008622222222222222,0.0,-0.008622222222222222,"-INF%"
"float[][][][][3]",3,0,-3,"-INF%",0.00013333333333333334,0.0,-0.00013333333333333334,"-INF%"
"float[][][][][4]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"short[][][][][1]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"randoop.operation.ArrayElementSet@3505417f",2,0,-2,"-INF%",8.888888888888889e-05,0.0,-8.888888888888889e-05,"-INF%"
"public static java.util.TimeZone org.apache.lucene.util.LuceneTestCase.randomTimeZone(java.util.Random)",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"short[][][][][6]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"public void org.apache.lucene.util.LuceneTestCase.assertTermsEnumEquals(java.lang.String|org.apache.lucene.index.IndexReader|org.apache.lucene.index.TermsEnum|org.apache.lucene.index.TermsEnum|boolean) throws java.io.IOException",285,262,-23,"-8.07%",0.012666666666666666,0.01242412746585736,-0.00024253920080930663,"-1.91%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.TEST_POSTINGSFORMAT",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public void org.apache.lucene.util.LuceneTestCase.assertDocsSkippingEquals(java.lang.String|org.apache.lucene.index.IndexReader|int|org.apache.lucene.index.PostingsEnum|org.apache.lucene.index.PostingsEnum|boolean) throws java.io.IOException",5928,17650,11722,"197.74%",0.2634666666666667,0.8369688922610015,0.5735022255943347,"217.68%"
"double[][][][6]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"public static void org.junit.Assert.assertNotEquals(double|double|double)",292,258,-34,"-11.64%",0.012977777777777777,0.012234446130500759,-0.0007433316472770183,"-5.73%"
"public static void org.junit.Assert.assertNotEquals(java.lang.String|double|double|double)",307,264,-43,"-14.01%",0.013644444444444445,0.01251896813353566,-0.001125476310908785,"-8.25%"
"public static void org.junit.Assert.assertNotEquals(long|long)",237,206,-31,"-13.08%",0.010533333333333334,0.009768588770864946,-0.0007647445624683873,"-7.26%"
"public static void org.junit.Assert.assertNotEquals(java.lang.String|java.lang.Object|java.lang.Object)",4980,5297,317,"6.37%",0.22133333333333333,0.25118550834597875,0.02985217501264542,"13.49%"
"public static void org.junit.Assert.assertNotEquals(java.lang.Object|java.lang.Object)",2657,2471,-186,"-7.0%",0.11808888888888888,0.11717564491654021,-0.0009132439723486679,"-0.77%"
"public static void org.junit.Assert.assertNotEquals(java.lang.String|long|long)",279,256,-23,"-8.24%",0.0124,0.012139605462822459,-0.0002603945371775409,"-2.1%"
"public final void org.elasticsearch.test.ESTestCase.ensureCleanedUp() throws java.lang.Exception",3790,6221,2431,"64.14%",0.16844444444444445,0.2950018968133536,0.12655745236890914,"75.13%"
"public void org.apache.lucene.util.LuceneTestCase.assertPositionsSkippingEquals(java.lang.String|org.apache.lucene.index.IndexReader|int|org.apache.lucene.index.PostingsEnum|org.apache.lucene.index.PostingsEnum) throws java.io.IOException",4567,5037,470,"10.29%",0.20297777777777778,0.2388562215477997,0.03587844377002192,"17.68%"
"public static org.apache.lucene.index.SegmentReader org.apache.lucene.util.LuceneTestCase.getOnlySegmentReader(org.apache.lucene.index.DirectoryReader)",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"double[][][][2]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"java.util.Set[]",229,33,-196,"-85.59%",0.010177777777777779,0.0015648710166919575,-0.008612906761085821,"-84.62%"
"double[][][][1]",7,1,-6,"-85.71%",0.0003111111111111111,4.742033383915023e-05,-0.0002636907772719609,"-84.76%"
"java.util.Set[][]",11,29,18,"163.64%",0.0004888888888888889,0.0013751896813353566,0.0008863007924464677,"181.29%"
"java.util.Set[][][]",3,1,-2,"-66.67%",0.00013333333333333334,4.742033383915023e-05,-8.591299949418311e-05,"-64.43%"
"double[][][][3]",3,0,-3,"-INF%",0.00013333333333333334,0.0,-0.00013333333333333334,"-INF%"
"public static void org.junit.Assert.assertNotNull(java.lang.String|java.lang.Object)",1492,970,-522,"-34.99%",0.06631111111111111,0.04599772382397572,-0.020313387287135394,"-30.63%"
"public static void org.junit.Assert.assertNotNull(java.lang.Object)",1281,3443,2162,"168.77%",0.056933333333333336,0.16326820940819423,0.10633487607486089,"186.77%"
"double[][][][0]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"public static byte org.elasticsearch.test.ESTestCase.randomByte()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"int[][0]",13,2,-11,"-84.62%",0.0005777777777777778,9.484066767830046e-05,-0.0004829371100994773,"-83.59%"
"int[][4]",2,0,-2,"-INF%",8.888888888888889e-05,0.0,-8.888888888888889e-05,"-INF%"
"public void org.elasticsearch.test.ESTestCase.assertPathHasBeenCleared(java.nio.file.Path) throws java.lang.Exception",284,248,-36,"-12.68%",0.012622222222222222,0.011760242792109257,-0.0008619794301129649,"-6.83%"
"public void org.elasticsearch.test.ESTestCase.assertPathHasBeenCleared(java.lang.String) throws java.lang.Exception",3413,2105,-1308,"-38.32%",0.1516888888888889,0.09981980273141122,-0.05186908615747768,"-34.19%"
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[][][0]",14,0,-14,"-INF%",0.0006222222222222223,0.0,-0.0006222222222222223,"-INF%"
"public static final boolean org.apache.lucene.util.LuceneTestCase.TEST_AWAITSFIX",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"int[][6]",3,1,-2,"-66.67%",0.00013333333333333334,4.742033383915023e-05,-8.591299949418311e-05,"-64.43%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MAXFAILURES",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[][][3]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"randoop.operation.ArrayElementSet@1a89e229",60,0,-60,"-INF%",0.0026666666666666666,0.0,-0.0026666666666666666,"-INF%"
"long[6]",14,16,2,"14.29%",0.0006222222222222223,0.0007587253414264037,0.00013650311920418141,"21.94%"
"public static void org.apache.lucene.util.LuceneTestCase.overrideDefaultQueryCache()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"randoop.operation.UncheckedCast@718bf12c",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"long[0]",5576,3727,-1849,"-33.16%",0.24782222222222222,0.1767355842185129,-0.07108663800370932,"-28.68%"
"java.lang.String[][][][0]",6,4,-2,"-33.33%",0.0002666666666666667,0.00018968133535660092,-7.698533131006576e-05,"-28.87%"
"long[1]",28,17,-11,"-39.29%",0.0012444444444444445,0.0008061456752655538,-0.00043829876917889066,"-35.22%"
"java.lang.String[][][][1]",23,7,-16,"-69.57%",0.0010222222222222223,0.0003319423368740516,-0.0006902798853481707,"-67.53%"
"long[4]",165,14,-151,"-91.52%",0.007333333333333333,0.0006638846737481032,-0.00666944865958523,"-90.95%"
"java.lang.String[][][][4]",20,0,-20,"-INF%",0.0008888888888888889,0.0,-0.0008888888888888889,"-INF%"
"long[5]",10,25,15,"150.0%",0.00044444444444444447,0.0011855083459787557,0.0007410639015343112,"166.74%"
"java.lang.String[][][][6]",14,0,-14,"-INF%",0.0006222222222222223,0.0,-0.0006222222222222223,"-INF%"
"randoop.operation.ArrayElementSet@20a2840c",2,0,-2,"-INF%",8.888888888888889e-05,0.0,-8.888888888888889e-05,"-INF%"
"long[2]",29,9,-20,"-68.97%",0.001288888888888889,0.00042678300455235206,-0.0008621058843365369,"-66.89%"
"long[3]",13,14,1,"7.69%",0.0005777777777777778,0.0006638846737481032,8.610689597032546e-05,"14.9%"
"randoop.operation.ArrayElementSet@1cb1e800",4,0,-4,"-INF%",0.00017777777777777779,0.0,-0.00017777777777777779,"-INF%"
"int[][][6]",2,0,-2,"-INF%",8.888888888888889e-05,0.0,-8.888888888888889e-05,"-INF%"
