Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [[[[[[D,5,0,-5,"-INF%",1,0,-1,"-INF%",0.0002047753614285129,0.0,-0.0002047753614285129,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%"
class [[Lorg.junit.rules.TestRule;,11,0,-11,"-INF%",2,0,-2,"-INF%",0.00045050579514272843,0.0,-0.00045050579514272843,"-INF%",8.191014457140517e-05,0.0,-8.191014457140517e-05,"-INF%"
class [[[[[[Ljava.util.concurrent.ExecutorService;,1,0,-1,"-INF%",1,0,-1,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%"
class [[[D,104,39,-65,"-62.5%",11,8,-3,"-27.27%",0.004259327517713069,0.0017339498488351413,-0.0025253776688779275,"-59.29%",0.00045050579514272843,0.00035568202027387515,-9.482377486885328e-05,"-21.05%"
class [[[Ljava.lang.String;,3,44,41,"1366.67%",3,8,5,"166.67%",0.00012286521685710776,0.0019562511115063133,0.0018333858946492055,"1492.19%",0.00012286521685710776,0.00035568202027387515,0.0002328168034167674,"189.49%"
class [[[B,13,16,3,"23.08%",7,5,-2,"-28.57%",0.0005324159397141336,0.0007113640405477503,0.0001789481008336167,"33.61%",0.0002866855059999181,0.00022230126267117198,-6.438424332874611e-05,"-22.46%"
class [Ljava.io.Serializable;,2,11480,11478,"573900.0%",2,1,-1,"-50.0%",8.191014457140517e-05,0.5104036990930109,0.5103217889484395,"623026.36%",8.191014457140517e-05,4.4460252534234394e-05,-3.744989203717078e-05,"-45.72%"
class [Ljava.lang.CharSequence;,2,37,35,"1750.0%",2,3,1,"50.0%",8.191014457140517e-05,0.0016450293437666726,0.0015631191991952675,"1908.33%",8.191014457140517e-05,0.00013338075760270317,5.1470613031298e-05,"62.84%"
class [[C,36,33,-3,"-8.33%",7,5,-2,"-28.57%",0.001474382602285293,0.001467188333629735,-7.19426865555795e-06,"-0.49%",0.0002866855059999181,0.00022230126267117198,-6.438424332874611e-05,"-22.46%"
class [Ljava.util.Collection;,12,4,-8,"-66.67%",4,2,-2,"-50.0%",0.000491460867428431,0.00017784101013693757,-0.00031361985729149344,"-63.81%",0.00016382028914281035,8.892050506846879e-05,-7.489978407434156e-05,"-45.72%"
class [J,4010,3696,-314,"-7.83%",64,92,28,"43.75%",0.16422983986566736,0.1643250933665303,9.525350086295181e-05,"0.06%",0.0026211246262849656,0.0040903432331495645,0.001469218606864599,"56.05%"
class [[[Ljava.lang.reflect.GenericDeclaration;,3,8,5,"166.67%",1,2,1,"100.0%",0.00012286521685710776,0.00035568202027387515,0.0002328168034167674,"189.49%",4.095507228570259e-05,8.892050506846879e-05,4.79654327827662e-05,"117.12%"
class org.elasticsearch.index.analysis.KuromojiAnalysisTests,23777,24832,1055,"4.44%",23777,24832,1055,"4.44%",0.9737887537371503,1.1040369909301084,0.13024823719295808,"13.38%",0.9737887537371503,1.1040369909301084,0.13024823719295808,"13.38%"
class [Ljava.lang.reflect.AnnotatedElement;,101,3,-98,"-97.03%",1,3,2,"200.0%",0.004136462300855961,0.00013338075760270317,-0.004003081543253258,"-96.78%",4.095507228570259e-05,0.00013338075760270317,9.242568531700059e-05,"225.68%"
class [Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,245,1188,943,"384.9%",6,7,1,"16.67%",0.010033992709997133,0.05281878001067046,0.042784787300673324,"426.4%",0.0002457304337142155,0.0003112217677396408,6.549133402542525e-05,"26.65%"
class [[[Ljava.lang.reflect.Type;,11,1,-10,"-90.91%",2,1,-1,"-50.0%",0.00045050579514272843,4.4460252534234394e-05,-0.00040604554260849406,"-90.13%",8.191014457140517e-05,4.4460252534234394e-05,-3.744989203717078e-05,"-45.72%"
class [Lorg.junit.Assert;,1,17,16,"1600.0%",1,17,16,"1600.0%",4.095507228570259e-05,0.0007558242930819847,0.0007148692207962821,"1745.5%",4.095507228570259e-05,0.0007558242930819847,0.0007148692207962821,"1745.5%"
class [[[Ljava.util.Locale;,41,2,-39,"-95.12%",3,2,-1,"-33.33%",0.001679157963713806,8.892050506846879e-05,-0.0015902374586453372,"-94.7%",0.00012286521685710776,8.892050506846879e-05,-3.3944711788638974e-05,"-27.63%"
class [[[C,5,6,1,"20.0%",5,5,0,"0.0%",0.0002047753614285129,0.00026676151520540635,6.198615377689344e-05,"30.27%",0.0002047753614285129,0.00022230126267117198,1.7525901242659066e-05,"8.56%"
class [[[[B,5,3,-2,"-40.0%",3,2,-1,"-33.33%",0.0002047753614285129,0.00013338075760270317,-7.139460382580973e-05,"-34.86%",0.00012286521685710776,8.892050506846879e-05,-3.3944711788638974e-05,"-27.63%"
class [[[[[D,11,2,-9,"-81.82%",4,2,-2,"-50.0%",0.00045050579514272843,8.892050506846879e-05,-0.00036158529007425963,"-80.26%",0.00016382028914281035,8.892050506846879e-05,-7.489978407434156e-05,"-45.72%"
class [Lorg.apache.lucene.util.LuceneTestCase;,1,1,0,"0.0%",1,1,0,"0.0%",4.095507228570259e-05,4.4460252534234394e-05,3.5051802485318065e-06,"8.56%",4.095507228570259e-05,4.4460252534234394e-05,3.5051802485318065e-06,"8.56%"
class [[Ljava.lang.String;,41,189,148,"360.98%",10,11,1,"10.0%",0.001679157963713806,0.0084029877289703,0.006723829765256494,"400.43%",0.0004095507228570258,0.0004890627778765783,7.95120550195525e-05,"19.41%"
class [[[[D,51,14,-37,"-72.55%",7,7,0,"0.0%",0.0020887086865708318,0.0006224435354792816,-0.0014662651510915503,"-70.2%",0.0002866855059999181,0.0003112217677396408,2.4536261739722693e-05,"8.56%"
class [[Ljava.lang.reflect.GenericDeclaration;,460,17,-443,"-96.3%",1,1,0,"0.0%",0.018839333251423188,0.0007558242930819847,-0.018083508958341203,"-95.99%",4.095507228570259e-05,4.4460252534234394e-05,3.5051802485318065e-06,"8.56%"
class [Lorg.elasticsearch.test.ESTestCase;,29,73,44,"151.72%",29,16,-13,"-44.83%",0.001187697096285375,0.0032455984349991107,0.002057901338713736,"173.27%",0.001187697096285375,0.0007113640405477503,-0.0004763330557376247,"-40.11%"
class [[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,71,13,-58,"-81.69%",6,4,-2,"-33.33%",0.0029078101322848834,0.0005779832829450472,-0.0023298268493398364,"-80.12%",0.0002457304337142155,0.00017784101013693757,-6.788942357727795e-05,"-27.63%"
class [[[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,13,0,-13,"-INF%",3,0,-3,"-INF%",0.0005324159397141336,0.0,-0.0005324159397141336,"-INF%",0.00012286521685710776,0.0,-0.00012286521685710776,"-INF%"
class [S,3514,5168,1654,"47.07%",77,105,28,"36.36%",0.14391612401195888,0.22977058509692336,0.08585446108496447,"59.66%",0.003153540565999099,0.004668326516094611,0.001514785950095512,"48.03%"
class [[[[[F,1,0,-1,"-INF%",1,0,-1,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%"
class [Lorg.apache.lucene.search.QueryCachingPolicy;,22,86,64,"290.91%",6,4,-2,"-33.33%",0.0009010115902854569,0.003823581717944158,0.002922570127658701,"324.37%",0.0002457304337142155,0.00017784101013693757,-6.788942357727795e-05,"-27.63%"
class [[Ljava.lang.Iterable;,106,48,-58,"-54.72%",3,3,0,"0.0%",0.004341237662284474,0.002134092121643251,-0.0022071455406412234,"-50.84%",0.00012286521685710776,0.00013338075760270317,1.0515540745595413e-05,"8.56%"
class [Ljava.lang.reflect.Type;,25,14,-11,"-44.0%",4,3,-1,"-25.0%",0.0010238768071425645,0.0006224435354792816,-0.000401433271663283,"-39.21%",0.00016382028914281035,0.00013338075760270317,-3.0439531540107174e-05,"-18.58%"
