Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",183,204,21,"11.48%",0.007938573659552316,0.0093082679321044,0.0013696942725520828,"17.25%"
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer|java.lang.String|java.lang.String[]|int[]|int[]|java.lang.String[]|int[]|int[]) throws java.io.IOException",40,31,-9,"-22.5%",0.0017352073572791948,0.001414491695564884,-0.0003207156617143108,"-18.48%"
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer|java.lang.String|java.lang.String[]|int[]|int[]|java.lang.String[]|int[]|int[]|boolean) throws java.io.IOException",38,25,-13,"-34.21%",0.001648446989415235,0.0011407191093265195,-0.0005077278800887156,"-30.8%"
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer|java.lang.String|java.lang.String[]|int[]) throws java.io.IOException",269,129,-140,"-52.04%",0.011669269477702585,0.00588611060412484,-0.005783158873577745,"-49.56%"
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer|java.lang.String|java.lang.String[]) throws java.io.IOException",218,297,79,"36.24%",0.009456880097171612,0.01355174301879905,0.004094862921627439,"43.3%"
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer|java.lang.String|java.lang.String[]|int[]|int[]|int[]) throws java.io.IOException",59,56,-3,"-5.08%",0.0025594308519868124,0.0025552108048914036,-4.220047095408828e-06,"-0.16%"
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer|java.lang.String|java.lang.String[]|int[]|int[]|java.lang.String[]|int[]) throws java.io.IOException",53,34,-19,"-35.85%",0.002299149748394933,0.0015513779886840665,-0.0007477717597108666,"-32.52%"
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer|java.lang.String|java.lang.String[]|java.lang.String[]) throws java.io.IOException",318,136,-182,"-57.23%",0.013794898490369599,0.006205511954736266,-0.007589386535633333,"-55.02%"
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer|java.lang.String|java.lang.String[]|int[]|int[]) throws java.io.IOException",110,60,-50,"-45.45%",0.004771820232517786,0.0027377258623836466,-0.0020340943701341392,"-42.63%"
"randoop.operation.UncheckedCast@33ba3bb2",3,0,-3,"-INF%",0.0001301405517959396,0.0,-0.0001301405517959396,"-INF%"
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,1,0,"0.0%",4.338018393197987e-05,4.5628764373060775e-05,2.248580441080904e-06,"5.18%"
"public static void org.junit.Assert.assertTrue(boolean)",2,2,0,"0.0%",8.676036786395974e-05,9.125752874612155e-05,4.497160882161808e-06,"5.18%"
