Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [[[Ljava.util.List;,4,0,-4,"-INF%",2,0,-2,"-INF%",0.0001724435247456458,0.0,-0.0001724435247456458,"-INF%",8.62217623728229e-05,0.0,-8.62217623728229e-05,"-INF%"
class [Ljava.util.concurrent.ExecutorService;,6269,10222,3953,"63.06%",2,2,0,"0.0%",0.27026211415761336,0.47230051286790187,0.2020383987102885,"74.76%",8.62217623728229e-05,9.240863096613223e-05,6.186868593309336e-06,"7.18%"
class [[[[[[J,1,0,-1,"-INF%",1,0,-1,"-INF%",4.311088118641145e-05,0.0,-4.311088118641145e-05,"-INF%",4.311088118641145e-05,0.0,-4.311088118641145e-05,"-INF%"
class [[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,13,137,124,"953.85%",7,6,-1,"-14.29%",0.0005604414554233488,0.006329991221180058,0.005769549765756709,"1029.47%",0.00030177616830488014,0.0002772258928983967,-2.4550275406483454e-05,"-8.14%"
class [[[J,89,2,-87,"-97.75%",6,2,-4,"-66.67%",0.003836868425590619,9.240863096613223e-05,-0.0037444597946244868,"-97.59%",0.0002586652871184687,9.240863096613223e-05,-0.00016625665615233645,"-64.27%"
class [[C,9,86,77,"855.56%",6,10,4,"66.67%",0.00038799793067770304,0.003973571131543686,0.003585573200865983,"924.12%",0.0002586652871184687,0.0004620431548306612,0.0002033778677121925,"78.63%"
class [[[[[Lorg.junit.rules.RuleChain;,1,0,-1,"-INF%",1,0,-1,"-INF%",4.311088118641145e-05,0.0,-4.311088118641145e-05,"-INF%",4.311088118641145e-05,0.0,-4.311088118641145e-05,"-INF%"
class [S,8610,5076,-3534,"-41.05%",49,80,31,"63.27%",0.37118468701500257,0.2345331053920436,-0.13665158162295896,"-36.81%",0.002112433178134161,0.0036963452386452895,0.0015839120605111285,"74.98%"
class org.apache.lucene.util.LuceneTestCase$1,314,107,-207,"-65.92%",1,1,0,"0.0%",0.013536816692533196,0.004943861756688075,-0.00859295493584512,"-63.48%",4.311088118641145e-05,4.620431548306612e-05,3.093434296654668e-06,"7.18%"
class [[[[[[[Ljava.util.concurrent.ExecutorService;,1,0,-1,"-INF%",1,0,-1,"-INF%",4.311088118641145e-05,0.0,-4.311088118641145e-05,"-INF%",4.311088118641145e-05,0.0,-4.311088118641145e-05,"-INF%"
