Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Object,12,732,720,"6000.0%",1,1,0,"0.0%",0.0021897810218978104,0.13052781740370897,0.12833803638181115,"5860.77%",0.0001824817518248175,0.0001783166904422254,-4.165061382592109e-06,"-2.28%"
class com.github.kongchen.swagger.docgen.reader.SpringMvcApiReader,52573,56356,3783,"7.2%",48,60,12,"25.0%",9.59361313868613,10.049215406562054,0.45560226787592306,"4.75%",0.008759124087591242,0.010699001426533523,0.0019398773389422818,"22.15%"
class java.util.LinkedHashSet,3791,5085,1294,"34.13%",7,8,1,"14.29%",0.6917883211678832,0.9067403708987162,0.21495204973083293,"31.07%",0.0012773722627737226,0.0014265335235378032,0.00014916126076408055,"11.68%"
class java.util.HashSet,100509,33210,-67299,"-66.96%",24,30,6,"25.0%",18.341058394160584,5.921897289586306,-12.419161104574279,"-67.71%",0.004379562043795621,0.005349500713266762,0.0009699386694711409,"22.15%"
class java.lang.Boolean,21186,36224,15038,"70.98%",2,2,0,"0.0%",3.866058394160584,6.459343794579173,2.593285400418589,"67.08%",0.000364963503649635,0.0003566333808844508,-8.330122765184218e-06,"-2.28%"
class java.lang.Class,18851,26348,7497,"39.77%",5,5,0,"0.0%",3.439963503649635,4.698288159771755,1.2583246561221197,"36.58%",0.0009124087591240876,0.000891583452211127,-2.0825306912960573e-05,"-2.28%"
class [Ljava.lang.reflect.Type;,21186,36224,15038,"70.98%",3,3,0,"0.0%",3.866058394160584,6.459343794579173,2.593285400418589,"67.08%",0.0005474452554744526,0.0005349500713266762,-1.2495184147776409e-05,"-2.28%"
class java.util.ArrayList,19294,33117,13823,"71.64%",2,1,-1,"-50.0%",3.520802919708029,5.905313837375179,2.3845109176671495,"67.73%",0.000364963503649635,0.0001783166904422254,-0.00018664681320740962,"-51.14%"
