Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,23727,59174,35447,"149.4%",11,9,-2,"-18.18%",1.3739649082170362,3.6127968740460346,2.2388319658289983,"162.95%",0.0006369795587468875,0.000549484095488125,-8.749546325876245e-05,"-13.74%"
class org.jsoup.nodes.Document$OutputSettings,72624,100024,27400,"37.73%",48386,45654,-2732,"-5.65%",4.205454861312178,6.1068441296782465,1.901389268366069,"45.21%",2.801899357229718,2.7873496550460954,-0.014549702183622504,"-0.52%"
class sun.nio.cs.UTF_8,22519,31188,8669,"38.5%",1,1,0,"0.0%",1.3040129712201054,1.904145552231516,0.6001325810114106,"46.02%",5.790723261335341e-05,6.105378838756945e-05,3.146555774216037e-06,"5.43%"
class org.jsoup.nodes.Entities$EscapeMode,9350,47485,38135,"407.86%",1,1,0,"0.0%",0.5414326249348543,2.8991391415837353,2.357706516648881,"435.46%",5.790723261335341e-05,6.105378838756945e-05,3.146555774216037e-06,"5.43%"
class java.lang.Integer,26274,7436,-18838,"-71.7%",9,9,0,"0.0%",1.5214546296832474,0.4539959704499664,-1.067458659233281,"-70.16%",0.0005211650935201807,0.000549484095488125,2.831900196794432e-05,"5.43%"
class org.jsoup.nodes.TextNode,28100,23547,-4553,"-16.2%",835,584,-251,"-30.06%",1.6271932364352308,1.4376335551620978,-0.18955968127313305,"-11.65%",0.0483525392321501,0.03565541241834056,-0.012697126813809537,"-26.26%"
class java.lang.Object,1,0,-1,"-INF%",1,0,-1,"-INF%",5.790723261335341e-05,0.0,-5.790723261335341e-05,"-INF%",5.790723261335341e-05,0.0,-5.790723261335341e-05,"-INF%"
class java.util.Collections$EmptyList,8736,6207,-2529,"-28.95%",1,1,0,"0.0%",0.5058775841102554,0.37896086452164357,-0.12691671958861184,"-25.09%",5.790723261335341e-05,6.105378838756945e-05,3.146555774216037e-06,"5.43%"
class sun.nio.cs.UTF_8$Encoder,14873,8733,-6140,"-41.28%",1,1,0,"0.0%",0.8612542706584052,0.533182733988644,-0.3280715366697612,"-38.09%",5.790723261335341e-05,6.105378838756945e-05,3.146555774216037e-06,"5.43%"
class java.lang.Boolean,78743,42216,-36527,"-46.39%",2,2,0,"0.0%",4.559789217673288,2.577446730569632,-1.9823424871036557,"-43.47%",0.00011581446522670682,0.0001221075767751389,6.293111548432074e-06,"5.43%"
class java.util.ArrayList,16,27,11,"68.75%",1,1,0,"0.0%",0.0009265157218136546,0.0016484522864643751,0.0007219365646507206,"77.92%",5.790723261335341e-05,6.105378838756945e-05,3.146555774216037e-06,"5.43%"
class java.lang.Class,426,363,-63,"-14.79%",8,7,-1,"-12.5%",0.024668481093288553,0.02216252518468771,-0.0025059559086008446,"-10.16%",0.0004632578609068273,0.0004273765187129861,-3.5881342193841165e-05,"-7.75%"
class org.jsoup.nodes.Attributes,1616,4401,2785,"172.34%",61,76,15,"24.59%",0.0935780879031791,0.26869772269369313,0.175119634790514,"187.14%",0.003532341189414558,0.004640087917455278,0.0011077467280407199,"31.36%"
