Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public abstract void retrofit.RestAdapter$Log.log(java.lang.String)",1098,9287,8189,"745.81%",0.0907963284544778,0.7112115178434676,0.6204151893889898,"683.3%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setExecutors(java.util.concurrent.Executor|java.util.concurrent.Executor)",718,168,-550,"-76.6%",0.059373191102290584,0.012865676213815286,-0.0465075148884753,"-78.33%"
"public static java.lang.String retrofit.RestAdapter.IDLE_THREAD_NAME",1,1,0,"0.0%",8.269246671628214e-05,7.658140603461479e-05,-6.111060681667356e-06,"-7.39%"
"public java.util.concurrent.Executor retrofit.RestAdapter.callbackExecutor",1627,1958,331,"20.34%",0.13454064334739105,0.14994639301577578,0.015405749668384733,"11.45%"
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.clientProvider",13191,6648,-6543,"-49.6%",1.0907963284544777,0.5091131873181192,-0.5816831411363586,"-53.33%"
"public java.lang.String retrofit.client.Request.getMethod()",2019,966,-1053,"-52.15%",0.16695609030017367,0.0739776382294379,-0.09297845207073577,"-55.69%"
"java.lang.Object[2]",1,4,3,"300.0%",8.269246671628214e-05,0.00030632562413845916,0.000223633157422177,"270.44%"
"java.lang.Object[1]",6,8,2,"33.33%",0.0004961548002976929,0.0006126512482769183,0.00011649644797922544,"23.48%"
"java.lang.Object[0]",6,24,18,"300.0%",0.0004961548002976929,0.001837953744830755,0.0013417989445330622,"270.44%"
"public retrofit.converter.Converter retrofit.RestAdapter.converter",2612,1735,-877,"-33.58%",0.21599272306292897,0.13286873947005667,-0.08312398359287229,"-38.48%"
"public static int retrofit.RestAdapter.LOG_CHUNK_SIZE",1,20,19,"1900.0%",8.269246671628214e-05,0.001531628120692296,0.0014489356539760137,"1752.2%"
"retrofit.RestAdapter(retrofit.Server| retrofit.client.Client$Provider| java.util.concurrent.Executor| java.util.concurrent.Executor| retrofit.RequestInterceptor| retrofit.converter.Converter| retrofit.Profiler| retrofit.ErrorHandler| retrofit.RestAdapter$Log| retrofit.RestAdapter$LogLevel)",27612,7831,-19781,"-71.64%",2.283304390969983,0.5997089906570685,-1.6835954003129143,"-73.74%"
"retrofit.RestAdapter()",1799,26330,24531,"1363.59%",0.1487637476225916,2.0163884208914076,1.867624673268816,"1255.43%"
"public retrofit.Server retrofit.RestAdapter$Builder.server",3170,1740,-1430,"-45.11%",0.2621351194906144,0.13325164650022975,-0.12888347299038466,"-49.17%"
"public retrofit.RestAdapter$Log retrofit.RestAdapter$Builder.log",2608,3492,884,"33.9%",0.21566195319606385,0.2674222698728749,0.051760316676811025,"24.0%"
"public retrofit.ErrorHandler retrofit.RestAdapter.errorHandler",3782,4934,1152,"30.46%",0.3127429091209791,0.3778526573747894,0.06510974825381033,"20.82%"
