Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public java.lang.String org.jsoup.helper.HttpConnection$Response.contentType",4908,553,-4355,"-88.73%",0.19475417642157059,0.08083613506797252,-0.11391804135359807,"-58.49%"
"public boolean org.jsoup.helper.HttpConnection$Base.hasCookie(java.lang.String)",7343,330,-7013,"-95.51%",0.29137732629657553,0.04823856161379915,-0.2431387646827764,"-83.44%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.url(java.net.URL)",996,90,-906,"-90.96%",0.03952224118090552,0.01315597134921795,-0.02636626983168757,"-66.71%"
"public java.net.URL org.jsoup.helper.HttpConnection$Base.url()",9268,692,-8576,"-92.53%",0.3677631840006349,0.10115480192954246,-0.26660838207109244,"-72.49%"
"public static void org.jsoup.helper.HttpConnection$Response.writePost(java.util.Collection|java.io.OutputStream) throws java.io.IOException",2,2,0,"0.0%",7.93619300821396e-05,0.00029235491887151,0.0002129929887893704,"268.38%"
"public void org.jsoup.helper.HttpConnection$Response.setupFromConnection(java.net.HttpURLConnection|org.jsoup.Connection$Response) throws java.io.IOException",1074,81,-993,"-92.46%",0.04261735645410896,0.011840374214296156,-0.030776982239812803,"-72.22%"
"public static java.net.HttpURLConnection org.jsoup.helper.HttpConnection$Response.createConnection(org.jsoup.Connection$Request) throws java.io.IOException",1,1,0,"0.0%",3.96809650410698e-05,0.000146177459435755,0.0001064964943946852,"268.38%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage()",6569,594,-5975,"-90.96%",0.2606642593547875,0.08682941090483848,-0.173834848449949,"-66.69%"
"public org.jsoup.nodes.Document org.jsoup.helper.HttpConnection$Response.parse() throws java.io.IOException",1019,78,-941,"-92.35%",0.04043490337685012,0.01140184183598889,-0.02903306154086123,"-71.8%"
"public java.util.Map$Entry org.jsoup.helper.HttpConnection$Base.scanHeaders(java.lang.String)",7118,317,-6801,"-95.55%",0.28244910916233484,0.046338254641134335,-0.2361108545212005,"-83.59%"
"org.jsoup.helper.HttpConnection$Response(org.jsoup.helper.HttpConnection$Response)",31025,11674,-19351,"-62.37%",1.2311019403991905,1.706475661453004,0.47537372105381337,"38.61%"
