Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static final java.util.regex.Pattern org.jsoup.helper.HttpConnection$Response.xmlContentTypeRxp",1,1,0,"0.0%",0.5,0.5,0.0,"0.0%"
"java.lang.Object()",1,1,0,"0.0%",0.5,0.5,0.0,"0.0%"
"public final native java.lang.Class java.lang.Object.getClass()",2,2,0,"0.0%",1.0,1.0,0.0,"0.0%"
